Brandname;ActiveIngredient;Strength;DosageForm;PrescribingProduct
Rapibloc 300 mg poeder voor oplossing voor infusie;LANDIOLOL;300 mg;Poeder voor oplossing voor infusie;LANDIOLOL - 300 mg - Poeder voor oplossing voor infusie
Tramal, druppels voor oraal gebruik, oplossing 100 mg/ml;TRAMADOL;100 mg/ml;Druppels voor oraal gebruik;TRAMADOL - 100 mg/ml - Druppels voor oraal gebruik
Carbamazepine Aurobindo retard 200 mg, tabletten met verlengde afgifte;CARBAMAZEPINE;200 mg;Tablet met verlengde afgifte;CARBAMAZEPINE - 200 mg - Tablet met verlengde afgifte
Bortezomib medac 2,5 mg, poeder voor oplossing voor injectie;BORTEZOMIB ANHYDRIDE;2,5 mg;Poeder voor oplossing voor injectie;BORTEZOMIB ANHYDRIDE - 2,5 mg - Poeder voor oplossing voor injectie
Pravastatinenatrium 40 mg TEVA, tabletten;PRAVASTATINE;40 mg;Tablet;PRAVASTATINE - 40 mg - Tablet
Licarbetida 300 mg/25 mg tabletten;HYDROCHLOORTHIAZIDE/IRBESARTAN;300 mg/25 mg;Tablet;HYDROCHLOORTHIAZIDE/IRBESARTAN - 300 mg/25 mg - Tablet
Tektrotyd 20 microgram kit voor radiofarmaceutisch preparaat;HYDRAZINONICOTINYL-TYR3-OCTREOTIDETRIFLUOR;20 mcg;Kit voor radiofarmaceutisch preparaat;HYDRAZINONICOTINYL-TYR3-OCTREOTIDETRIFLUOR - 20 mcg - Kit voor radiofarmaceutisch preparaat
Mirtazapine SDZ 15 mg, filmomhulde tabletten;MIRTAZAPINE;15 mg;Filmomhulde tablet;MIRTAZAPINE - 15 mg - Filmomhulde tablet
Simvastatine 40 mg, filmomhulde tabletten;SIMVASTATINE;40 mg;Filmomhulde tablet;SIMVASTATINE - 40 mg - Filmomhulde tablet
TRUSOPT conserveermiddelvrij, oogdruppels, oplossing in flacon voor eenmalig gebruik 20 mg/ml;DORZOLAMIDE;20 mg/ml;Oogdruppels;DORZOLAMIDE - 20 mg/ml - Oogdruppels
Carbamazepine Retard 400 mg Focus Care, tabletten met gereguleerde afgifte;CARBAMAZEPINE;400 mg;Tablet met gereguleerde afgifte;CARBAMAZEPINE - 400 mg - Tablet met gereguleerde afgifte
Urografin 30%, oplossing voor infusie;JODIUM (MOLECULAIR)/MEGLUMINEAMIDOTRIZOAAT/AMIDOTRIZOAAT;30%;Oplossing voor infusie;JODIUM (MOLECULAIR)/MEGLUMINEAMIDOTRIZOAAT/AMIDOTRIZOAAT - 30% - Oplossing voor infusie
Eligard 45 mg  poeder en oplosmiddel voor oplossing voor injectie;LEUPRORELINE;45 mg;Poeder en oplosmiddel voor oplossing voor injectie;LEUPRORELINE - 45 mg - Poeder en oplosmiddel voor oplossing voor injectie
Sucralfaat Teva 1 gram, granulaat in sachets;SUCRALFAAT;1 g;Granulaat;SUCRALFAAT - 1 g - Granulaat
Ondansetron 8 PCH, filmomhulde tabletten 8 mg;ONDANSETRON;8 mg;Filmomhulde tablet;ONDANSETRON - 8 mg - Filmomhulde tablet
Decapeptyl-CR 3,75 mg, poeder en oplosmiddel voor suspensie voor injectie;TRIPTORELINE;3,75 mg;Poeder en oplosmiddel voor suspensie voor injectie;TRIPTORELINE - 3,75 mg - Poeder en oplosmiddel voor suspensie voor injectie
Etorixan 60 mg, filmomhulde tabletten;ETORICOXIB;60 mg;Filmomhulde tablet;ETORICOXIB - 60 mg - Filmomhulde tablet
Metoject PEN 30 mg=0,6 ml oplossing voor injectie in een voorgevulde pen;METHOTREXAAT;30 mg;Oplossing voor injectie;METHOTREXAAT - 30 mg - Oplossing voor injectie
Desfluraan Cadiasun 100% Vloeistof voor inhalatiedamp;DESFLURAAN;100%;Inhalatieoplossing;DESFLURAAN - 100% - Inhalatieoplossing
Drospirenon/Ethinylestradiol 3/0,02 mg 24+4 Theramex, filmomhulde tabletten;DROSPIRENON/ETHINYLESTRADIOL;3/0,02 mg;Filmomhulde tablet;DROSPIRENON/ETHINYLESTRADIOL - 3/0,02 mg - Filmomhulde tablet
Recivit 133 microgram, tabletten voor sublinguaal gebruik;FENTANYL;133 mcg;Tablet voor sublinguaal gebruik;FENTANYL - 133 mcg - Tablet voor sublinguaal gebruik
SILANDYL 50 mg, orodispergeerbare film;SILDENAFIL;50 mg;Orodispergeerbare film;SILDENAFIL - 50 mg - Orodispergeerbare film
Doxazosine DOC Generici 2 mg, tabletten;DOXAZOSINE;2 mg;Tablet;DOXAZOSINE - 2 mg - Tablet
Uromitexan, oplossing voor injectie 100 mg/ml;MESNA;100 mg/ml;Oplossing voor injectie;MESNA - 100 mg/ml - Oplossing voor injectie
Valsartan 80 mg tabletten PCH, filmomhulde tabletten;VALSARTAN;80 mg;Filmomhulde tablet;VALSARTAN - 80 mg - Filmomhulde tablet
Balcoga 20 mg, filmomhulde tabletten;SILDENAFIL;20 mg;Filmomhulde tablet;SILDENAFIL - 20 mg - Filmomhulde tablet
Cinacalcet Hetero 30 mg filmomhulde tabletten;CINACALCET;30 mg;Filmomhulde tablet;CINACALCET - 30 mg - Filmomhulde tablet
Dapagliflozine Macleods 5 mg filmomhulde tabletten;DAPAGLIFLOZINE;5 mg;Filmomhulde tablet;DAPAGLIFLOZINE - 5 mg - Filmomhulde tablet
Methotrexaat TEVA 10,0 mg, Oplossing voor injectie in een voorgevulde spuit 0,4 ml;METHOTREXAAT;10,0 mg;Oplossing voor injectie;METHOTREXAAT - 10,0 mg - Oplossing voor injectie
Quetiapine Sandoz SR 150 mg, tabletten met verlengde afgifte;QUETIAPINE;150 mg;Tablet met verlengde afgifte;QUETIAPINE - 150 mg - Tablet met verlengde afgifte
Ursodeoxycholzuur Glenmark 300 mg tabletten;URSODEOXYCHOLZUUR;300 mg;Tablet;URSODEOXYCHOLZUUR - 300 mg - Tablet
Deferasirox Xiromed 90 mg filmomhulde tabletten;DEFERASIROX;90 mg;Filmomhulde tablet;DEFERASIROX - 90 mg - Filmomhulde tablet
Modafinil Emona 200 mg tabletten;MODAFINIL;200 mg;Tablet;MODAFINIL - 200 mg - Tablet
Montelukast Synthon 5 mg kauwtabletten;MONTELUKAST;5 mg;Kauwtablet;MONTELUKAST - 5 mg - Kauwtablet
Pravastatinenatrium Teva 40 mg, tabletten;PRAVASTATINE;40 mg;Tablet;PRAVASTATINE - 40 mg - Tablet
Levofloxacine Jubilant 500 mg filmomhulde tabletten;LEVOFLOXACINE;500 mg;Filmomhulde tablet;LEVOFLOXACINE - 500 mg - Filmomhulde tablet
Etomedac 20 mg/ml, concentraat voor oplossing voor infusie;ETOPOSIDE;20 mg/ml;Concentraat voor oplossing voor infusie;ETOPOSIDE - 20 mg/ml - Concentraat voor oplossing voor infusie
Sitagliptine CF 50 mg, filmomhulde tabletten;SITAGLIPTINE;50 mg;Filmomhulde tablet;SITAGLIPTINE - 50 mg - Filmomhulde tablet
Exemestaan Accord 25 mg, filmomhulde tabletten;EXEMESTAAN;25 mg;Filmomhulde tablet;EXEMESTAAN - 25 mg - Filmomhulde tablet
Losartankalium/HCT Xiromed 50/12,5 mg, filmomhulde tabletten;HYDROCHLOORTHIAZIDE/LOSARTAN;50/12,5 mg;Filmomhulde tablet;HYDROCHLOORTHIAZIDE/LOSARTAN - 50/12,5 mg - Filmomhulde tablet
Darunavir Xiromed 800 mg, filmomhulde tabletten;DARUNAVIR;800 mg;Filmomhulde tablet;DARUNAVIR - 800 mg - Filmomhulde tablet
Atorvastatine SUN 80 mg, filmomhulde tabletten;ATORVASTATINE;80 mg;Filmomhulde tablet;ATORVASTATINE - 80 mg - Filmomhulde tablet
Darunavir Glenmark 600 mg filmomhulde tabletten;DARUNAVIR;600 mg;Filmomhulde tablet;DARUNAVIR - 600 mg - Filmomhulde tablet
Amlodipine (als besilaat) Auro 10 mg, tabletten;AMLODIPINE;10 mg;Tablet;AMLODIPINE - 10 mg - Tablet
Carbamazepine Aurobindo retard 400 mg, tabletten met verlengde afgifte;CARBAMAZEPINE;400 mg;Tablet met verlengde afgifte;CARBAMAZEPINE - 400 mg - Tablet met verlengde afgifte
Methylfenidaat HCl Xiromed 18 mg tabletten met verlengde afgifte;METHYLFENIDAAT;18 mg;Tablet met verlengde afgifte;METHYLFENIDAAT - 18 mg - Tablet met verlengde afgifte
Lorazepam Medochemie Bohemia 2,5 mg, tabletten;LORAZEPAM;2,5 mg;Tablet;LORAZEPAM - 2,5 mg - Tablet
OxyContin Retard 30 mg, tabletten met verlengde afgifte;OXYCODON;30 mg;Tablet met verlengde afgifte;OXYCODON - 30 mg - Tablet met verlengde afgifte
Dormicum 5 mg/ml oplossing voor injectie;MIDAZOLAM;5 mg/ml;Oplossing voor injectie;MIDAZOLAM - 5 mg/ml - Oplossing voor injectie
Claritromycine retard CF 500 mg, filmomhulde tabletten met verlengde afgifte;CLARITROMYCINE;500 mg;Tablet met verlengde afgifte;CLARITROMYCINE - 500 mg - Tablet met verlengde afgifte
Pregabaline Reddy 200 mg harde capsules;PREGABALINE;200 mg;Capsule;PREGABALINE - 200 mg - Capsule
Zonisamide Aristo 25 mg harde capsules;ZONISAMIDE;25 mg;Capsule;ZONISAMIDE - 25 mg - Capsule
Aripiprazol Amarox 10 mg, tabletten;ARIPIPRAZOL;10 mg;Tablet;ARIPIPRAZOL - 10 mg - Tablet
Caspofungin Cadiasun 70 mg, poeder voor concentraat voor oplossing voor infusie;CASPOFUNGINE;70 mg;Poeder voor concentraat voor oplossing voor infusie;CASPOFUNGINE - 70 mg - Poeder voor concentraat voor oplossing voor infusie
Escitalopram Aurobindo 20 mg, filmomhulde tabletten;ESCITALOPRAM;20 mg;Filmomhulde tablet;ESCITALOPRAM - 20 mg - Filmomhulde tablet
Calciumpolystyreensulfonaat 1 g/g Focus Care, poeder voor suspensie voor oraal/rectaal gebruik;POLYSTYREENSULFONAAT;1 g/g;Poeder voor suspensie voor oraal / rectaal gebruik;POLYSTYREENSULFONAAT - 1 g/g - Poeder voor suspensie voor oraal / rectaal gebruik
Remifentanil B. Braun 2 mg, poeder voor concentraat voor oplossing voor injectie of infusie;REMIFENTANIL;2 mg;Concentraat voor oplossing voor injectie of infusie;REMIFENTANIL - 2 mg - Concentraat voor oplossing voor injectie of infusie
Tamsulosine HCl retard 0,4 mg Teva, harde capsules met gereguleerde afgifte;TAMSULOSINE;0,4 mg;Capsule met gereguleerde afgifte;TAMSULOSINE - 0,4 mg - Capsule met gereguleerde afgifte
Levothyroxine natrium Uni-Pharma 75 microgram Tabletten;LEVOTHYROXINE;75 mcg;Tablet;LEVOTHYROXINE - 75 mcg - Tablet
Olanzapine Sandoz orodispergeerbare tablet 15 mg, orodipergeerbare tabletten;OLANZAPINE;15 mg;Orodispergeerbare tablet;OLANZAPINE - 15 mg - Orodispergeerbare tablet
Olanzapine Sandoz 20 mg, filmomhulde tabletten;OLANZAPINE;20 mg;Filmomhulde tablet;OLANZAPINE - 20 mg - Filmomhulde tablet
Mesalazine Sandoz tablet EC 500, maagsapresistente tabletten 500 mg;MESALAZINE;500 mg;Maagsapresistente tablet;MESALAZINE - 500 mg - Maagsapresistente tablet
Meloxicam Unichem 7,5 mg tabletten;MELOXICAM;7,5 mg;Tablet;MELOXICAM - 7,5 mg - Tablet
Ondansetron Hikma 4 mg/2 ml, oplossing voor injectie;ONDANSETRON;4 mg/2 ml;Oplossing voor injectie;ONDANSETRON - 4 mg/2 ml - Oplossing voor injectie
Impromen decanoas 50 mg/ml, oplossing voor injectie;BROOMPERIDOL;50 mg/ml;Oplossing voor injectie;BROOMPERIDOL - 50 mg/ml - Oplossing voor injectie
Clozapine Leyden Delta 50 mg, tabletten;CLOZAPINE;50 mg;Tablet;CLOZAPINE - 50 mg - Tablet
Methylfenidaat HCl retard Aristo 40 mg, harde capsules met gereguleerde afgifte;METHYLFENIDAAT;40 mg;Capsule met gereguleerde afgifte;METHYLFENIDAAT - 40 mg - Capsule met gereguleerde afgifte
Diclofenacnatrium Aurobindo 100 mg, zetpillen;DICLOFENAC;100 mg;Zetpil;DICLOFENAC - 100 mg - Zetpil
Budesonide 50 microgram/dosis Focus, neusspray, suspensie;BUDESONIDE;50 mcg/dosis;Neusspray;BUDESONIDE - 50 mcg/dosis - Neusspray
Thyrofix 150 microgram tabletten;LEVOTHYROXINE;150 mcg;Tablet;LEVOTHYROXINE - 150 mcg - Tablet
Irbesof HCT 300/25 mg, filmomhulde tabletten;HYDROCHLOORTHIAZIDE/IRBESARTAN;300/25 mg;Filmomhulde tablet;HYDROCHLOORTHIAZIDE/IRBESARTAN - 300/25 mg - Filmomhulde tablet
Morfine HCl Teva 20 mg/ml, oplossing voor injectie;MORFINE;20 mg/ml;Oplossing voor injectie;MORFINE - 20 mg/ml - Oplossing voor injectie
Clemastine TioFarma 1 mg, tabletten;CLEMASTINE;1 mg;Tablet;CLEMASTINE - 1 mg - Tablet
Metoprololtartraat Aurobindo 100 mg, filmomhulde tabletten;METOPROLOL;100 mg;Filmomhulde tablet;METOPROLOL - 100 mg - Filmomhulde tablet
Ramipril Accord 5 mg, capsule hard;RAMIPRIL;5 mg;Capsule;RAMIPRIL - 5 mg - Capsule
Valsartan/HCT Jubilant 80 mg/12,5 mg, filmomhulde tabletten;HYDROCHLOORTHIAZIDE/VALSARTAN;80 mg/12,5 mg;Filmomhulde tablet;HYDROCHLOORTHIAZIDE/VALSARTAN - 80 mg/12,5 mg - Filmomhulde tablet
Amaryl 6 mg, tabletten;GLIMEPIRIDE;6 mg;Tablet;GLIMEPIRIDE - 6 mg - Tablet
Lenalidomide RAFARM 15 mg, harde capsules;LENALIDOMIDE;15 mg;Capsule;LENALIDOMIDE - 15 mg - Capsule
Ventolin Infuus, concentraat voor oplossing voor infusie 5 mg/5 ml;SALBUTAMOL;5 mg/5 ml;Concentraat voor oplossing voor infusie;SALBUTAMOL - 5 mg/5 ml - Concentraat voor oplossing voor infusie
Atovaquon/Proguanil HCl Amarox 250/100 mg, filmomhulde tabletten;ATOVAQUON/PROGUANIL;250/100 mg;Filmomhulde tablet;ATOVAQUON/PROGUANIL - 250/100 mg - Filmomhulde tablet
Celiprolol HCL Teva 200 mg, filmomhulde tabletten;CELIPROLOL;200 mg;Filmomhulde tablet;CELIPROLOL - 200 mg - Filmomhulde tablet
Irbesartan/Hydrochloorthiazide Aurobindo 150 mg/ 12,5 mg filmomhulde tabletten;HYDROCHLOORTHIAZIDE/IRBESARTAN;150 mg/ 12,5 mg;Filmomhulde tablet;HYDROCHLOORTHIAZIDE/IRBESARTAN - 150 mg/ 12,5 mg - Filmomhulde tablet
Olbetam, capsules 250 mg;ACIPIMOX;250 mg;Capsule;ACIPIMOX - 250 mg - Capsule
Naropin 5 mg/ml, oplossing voor injectie voor intrathecale toediening;ROPIVACAÏNE;5 mg/ml;Oplossing voor injectie;ROPIVACAÏNE - 5 mg/ml - Oplossing voor injectie
Brimonidinetartraat Mylan 2 mg/ml, oogdruppels, oplossing;BRIMONIDINE;2 mg/ml;Oogdruppels;BRIMONIDINE - 2 mg/ml - Oogdruppels
Fludarabinefosfaat Accord 25 mg/ml, concentraat voor oplossing voor injectie of infusie;FLUDARABINE;25 mg/ml;Concentraat voor oplossing voor injectie of infusie;FLUDARABINE - 25 mg/ml - Concentraat voor oplossing voor injectie of infusie
Ursodeoxycholzuur Glenmark 150 mg tabletten;URSODEOXYCHOLZUUR;150 mg;Tablet;URSODEOXYCHOLZUUR - 150 mg - Tablet
Vodask 200 mg poeder voor oplossing voor infusie;VORICONAZOL;200 mg;Poeder voor oplossing voor infusie;VORICONAZOL - 200 mg - Poeder voor oplossing voor infusie
Isoprenaline HCl Macure 0,2 mg/ml concentraat voor oplossing voor infusie;ISOPRENALINE;0,2 mg/ml;Concentraat voor oplossing voor infusie;ISOPRENALINE - 0,2 mg/ml - Concentraat voor oplossing voor infusie
Sevikar 40 mg/5 mg, filmomhulde tabletten;AMLODIPINE/OLMESARTANMEDOXOMIL;40 mg/5 mg;Filmomhulde tablet;AMLODIPINE/OLMESARTANMEDOXOMIL - 40 mg/5 mg - Filmomhulde tablet
Metronidazol 5 mg/ml in VIAFLO, oplossing voor infusie;METRONIDAZOL;5 mg/ml;Oplossing voor infusie;METRONIDAZOL - 5 mg/ml - Oplossing voor infusie
Amlodipine (als besilaat) Viatris 10 mg tabletten;AMLODIPINE;10 mg;Tablet;AMLODIPINE - 10 mg - Tablet
Amiodaron HCl hameln 50 mg/ml, concentraat voor oplossing voor injectie/infusie;AMIODARON;50 mg/ml;Concentraat voor oplossing voor injectie of infusie;AMIODARON - 50 mg/ml - Concentraat voor oplossing voor injectie of infusie
Deponit T 10, pleister voor transdermaal gebruik 10 mg/ 24 uur;NITROGLYCERINE;10 mg/ 24 uur;Pleister voor transdermaal gebruik;NITROGLYCERINE - 10 mg/ 24 uur - Pleister voor transdermaal gebruik
Atomoxetine Teva 40 mg, harde capsules;ATOMOXETINE;40 mg;Capsule;ATOMOXETINE - 40 mg - Capsule
Hidroferol 266 microgram zachte capsules;CALCIFEDIOL;266 mcg;Capsule;CALCIFEDIOL - 266 mcg - Capsule
Nutriflex Lipid special zonder elektrolyten, 56 g/l Amino + 144 g/l G, emulsie voor infusie;ALANINE, DL-/, (L-)/ASPARAGINEZUUR, L/FENYLALANINE, (L-)/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (DL-)/LEUCINE, (L-) (E 641)/LYSINE (L-)/METHIONINE, (L-)/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/THREONINE, (L-)/TRIGLYCERIDEN MIDDELLANGE KETEN/TRYPTOFAAN, (L-)/VALINE, (L-);56 g/l;Emulsie voor infusie;ALANINE, DL-/, (L-)/ASPARAGINEZUUR, L/FENYLALANINE, (L-)/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (DL-)/LEUCINE, (L-) (E 641)/LYSINE (L-)/METHIONINE, (L-)/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/THREONINE, (L-)/TRIGLYCERIDEN MIDDELLANGE KETEN/TRYPTOFAAN, (L-)/VALINE, (L-) - 56 g/l - Emulsie voor infusie
Fentanyl matrixpleister Viatris 75 microgram/uur, pleister voor transdermaal gebruik;FENTANYL;75 mcg/uur;Pleister voor transdermaal gebruik;FENTANYL - 75 mcg/uur - Pleister voor transdermaal gebruik
Levothyroxinenatrium Aristo 175 microgram, tabletten;LEVOTHYROXINE;175 mcg;Tablet;LEVOTHYROXINE - 175 mcg - Tablet
Everolimus CF 5 mg, tabletten;EVEROLIMUS;5 mg;Tablet;EVEROLIMUS - 5 mg - Tablet
Neophyr 225 ppm mol/mol medicinaal gas, samengeperst;STIKSTOFOXIDE;225 ppm;Medicinaal gas;STIKSTOFOXIDE - 225 ppm - Medicinaal gas
Methotrexaat Nordic 12,5 mg, Oplossing voor injectie in een voorgevulde spuit;METHOTREXAAT;12,5 mg;Oplossing voor injectie;METHOTREXAAT - 12,5 mg - Oplossing voor injectie
Zopiclon Aurobindo 7,5 mg, filmomhulde tabletten;ZOPICLON;7,5 mg;Filmomhulde tablet;ZOPICLON - 7,5 mg - Filmomhulde tablet
Amitriptyline HCl Amarox 100 mg filmomhulde tabletten;AMITRIPTYLINE;100 mg;Filmomhulde tablet;AMITRIPTYLINE - 100 mg - Filmomhulde tablet
Cabazitaxel Vivanta 60 mg concentraat en oplosmiddel voor oplossing voor infusie;CABAZITAXEL;60 mg;Concentraat en oplosmiddel voor oplossing voor infusie;CABAZITAXEL - 60 mg - Concentraat en oplosmiddel voor oplossing voor infusie
Esomeprazol Tillomed 40 mg poeder voor oplossing voor injectie/infusie;ESOMEPRAZOL;40 mg;Poeder voor oplossing voor injectie of infusie;ESOMEPRAZOL - 40 mg - Poeder voor oplossing voor injectie of infusie
Sildenafil Umedica 20 mg filmomhulde tabletten;SILDENAFIL;20 mg;Filmomhulde tablet;SILDENAFIL - 20 mg - Filmomhulde tablet
Pramipexol Sandoz retard 1,05 mg, tabletten met verlengde afgifte;PRAMIPEXOL;1,05 mg;Tablet met verlengde afgifte;PRAMIPEXOL - 1,05 mg - Tablet met verlengde afgifte
Zaponex 100 mg, orodispergeerbare tabletten;CLOZAPINE;100 mg;Orodispergeerbare tablet;CLOZAPINE - 100 mg - Orodispergeerbare tablet
Atenolol Aurobindo 50 mg, filmomhulde tabletten;ATENOLOL;50 mg;Filmomhulde tablet;ATENOLOL - 50 mg - Filmomhulde tablet
Tapentadol retard Teva 200 mg, tabletten met verlengde afgifte;TAPENTADOL;200 mg;Tablet met verlengde afgifte;TAPENTADOL - 200 mg - Tablet met verlengde afgifte
Remeron 45 mg, filmomhulde tabletten;MIRTAZAPINE;45 mg;Filmomhulde tablet;MIRTAZAPINE - 45 mg - Filmomhulde tablet
Bufoler Easyhaler 320/9 microgram/dosis, inhalatiepoeder;BUDESONIDE/FORMOTEROL;320/9 mcg/dosis;Inhalatiepoeder;BUDESONIDE/FORMOTEROL - 320/9 mcg/dosis - Inhalatiepoeder
Levetiracetam Altan 100 mg/ml concentraat voor oplossing voor infusie;LEVETIRACETAM;100 mg/ml;Concentraat voor oplossing voor infusie;LEVETIRACETAM - 100 mg/ml - Concentraat voor oplossing voor infusie
Metformine HCl 1A Pharma tablet 850 mg, filmomhulde tabletten;METFORMINE;850 mg;Filmomhulde tablet;METFORMINE - 850 mg - Filmomhulde tablet
"Bencard Priktestoplossing ""Mijten"", oplossing voor huidpriktest 10.000 DU/ml";"MIJTENEXTRACT ""BENCARD""";10,000 DU/ml;Oplossing voor huidpriktest;"MIJTENEXTRACT ""BENCARD"" - 10,000 DU/ml - Oplossing voor huidpriktest"
Osferol-D3 800 IE filmomhulde tabletten;CHOLECALCIFEROL/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM;800 IE;Filmomhulde tablet;CHOLECALCIFEROL/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM - 800 IE - Filmomhulde tablet
Osferol-D3 1000 IE filmomhulde tabletten;CHOLECALCIFEROL/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM;1000 IE;Filmomhulde tablet;CHOLECALCIFEROL/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM - 1000 IE - Filmomhulde tablet
Azelastine/Fluticasonpropionaat ELPEN 137 microgram / 50 microgram per verstuiving, neusspray, suspensie;AZELASTINE/FLUTICASON;137 mcg / 50 mcg;Neusspray;AZELASTINE/FLUTICASON - 137 mcg / 50 mcg - Neusspray
Cyproteronacetaat/Ethinylestradiol Mylan 2 mg/0,035 mg, omhulde tabletten;CYPROTERON/ETHINYLESTRADIOL;2 mg/0,035 mg;Omhulde tablet;CYPROTERON/ETHINYLESTRADIOL - 2 mg/0,035 mg - Omhulde tablet
Febuxostat Tillomed 80 mg filmomhulde tabletten;FEBUXOSTAT;80 mg;Filmomhulde tablet;FEBUXOSTAT - 80 mg - Filmomhulde tablet
Topiramaat Aurobindo 50 mg, filmomhulde tabletten;TOPIRAMAAT;50 mg;Filmomhulde tablet;TOPIRAMAAT - 50 mg - Filmomhulde tablet
Palexia Retard 50 mg tabletten met verlengde afgifte;TAPENTADOL;50 mg;Tablet met verlengde afgifte;TAPENTADOL - 50 mg - Tablet met verlengde afgifte
Desloratadine Double-e Pharma 5 mg filmomhulde tabletten;DESLORATADINE;5 mg;Filmomhulde tablet;DESLORATADINE - 5 mg - Filmomhulde tablet
Escitalopram Accord 10 mg filmomhulde tabletten;ESCITALOPRAM;10 mg;Filmomhulde tablet;ESCITALOPRAM - 10 mg - Filmomhulde tablet
Etoricoxib Viatris 30 mg, filmomhulde tabletten;ETORICOXIB;30 mg;Filmomhulde tablet;ETORICOXIB - 30 mg - Filmomhulde tablet
Midazolam Xiromed 5 mg oplossing voor oromucosaal gebruik;MIDAZOLAM;5 mg;Oplossing voor oromucosaal gebruik;MIDAZOLAM - 5 mg - Oplossing voor oromucosaal gebruik
Fluvastatine 20 mg PCH, capsules;FLUVASTATINE;20 mg;Capsule;FLUVASTATINE - 20 mg - Capsule
Eltrombopag Synthon 25 mg, tabletten;ELTROMBOPAGOLAMINE;25 mg;Filmomhulde tablet;ELTROMBOPAGOLAMINE - 25 mg - Filmomhulde tablet
Maxalt 10 mg, tabletten;RIZATRIPTAN;10 mg;Tablet;RIZATRIPTAN - 10 mg - Tablet
Bimatoprost Sandoz 0,1 mg/ml, oogdruppels, oplossing;BIMATOPROST;0,1 mg/ml;Oogdruppels;BIMATOPROST - 0,1 mg/ml - Oogdruppels
Ipratropiumbromide/Salbutamol Sandoz 0,5 mg/2,5 mg per 2,5 ml Unit Dose, verneveloplossing;IPRATROPIUM/SALBUTAMOL;0,5 mg/2,5 mg;Verneveloplossing;IPRATROPIUM/SALBUTAMOL - 0,5 mg/2,5 mg - Verneveloplossing
Metronidazol Auro 500 mg, filmomhulde tabletten;METRONIDAZOL;500 mg;Filmomhulde tablet;METRONIDAZOL - 500 mg - Filmomhulde tablet
Ubretid, tabletten 5 mg;DISTIGMINE;5 mg;Tablet;DISTIGMINE - 5 mg - Tablet
Icatibant Fresenius 30 mg oplossing voor injectie in een voorgevulde spuit;ICATIBANT;30 mg;Oplossing voor injectie;ICATIBANT - 30 mg - Oplossing voor injectie
Dimethylfumaraat CF 240 mg, harde maagsapresistente capsules;DIMETHYL;240 mg;Maagsapresistente capsule;DIMETHYL - 240 mg - Maagsapresistente capsule
Losartan kalium Jubilant 50 mg, filmomhulde tabletten;LOSARTAN;50 mg;Filmomhulde tablet;LOSARTAN - 50 mg - Filmomhulde tablet
Pemetrexed CF 25 mg/ml, concentraat voor oplossing voor infusie;PEMETREXED;25 mg/ml;Concentraat voor oplossing voor infusie;PEMETREXED - 25 mg/ml - Concentraat voor oplossing voor infusie
Ticagrelor Viatris 90 mg, filmomhulde tabletten;TICAGRELOR;90 mg;Filmomhulde tablet;TICAGRELOR - 90 mg - Filmomhulde tablet
Ticagrelor Xiromed 90 mg filmomhulde tabletten;TICAGRELOR;90 mg;Filmomhulde tablet;TICAGRELOR - 90 mg - Filmomhulde tablet
Venlafaxine Aurobindo 75 mg, capsules met verlengde afgifte, hard;VENLAFAXINE;75 mg;Capsule met verlengde afgifte;VENLAFAXINE - 75 mg - Capsule met verlengde afgifte
Lisdexamfetamine Teva 70 mg, harde capsules;DEXAMFETAMINE/LISDEXAMFETAMINE;70 mg;Capsule;DEXAMFETAMINE/LISDEXAMFETAMINE - 70 mg - Capsule
Meropenem Venus Pharma 1000 mg poeder voor oplossing voor injectie/infusie;MEROPENEM;1000 mg;Poeder voor oplossing voor injectie of infusie;MEROPENEM - 1000 mg - Poeder voor oplossing voor injectie of infusie
Megalotect 100 E/ml oplossing voor infusie;HUMAAN CYTOMEGALOVIRUS IMMUNOGLOBULINE;100 eenheden/ml;Oplossing voor infusie;HUMAAN CYTOMEGALOVIRUS IMMUNOGLOBULINE - 100 eenheden/ml - Oplossing voor infusie
Hydrocortison Strides 20 mg tabletten;HYDROCORTISON;20 mg;Tablet;HYDROCORTISON - 20 mg - Tablet
Deferasirox Synthon 180 mg, filmomhulde tabletten;DEFERASIROX;180 mg;Filmomhulde tablet;DEFERASIROX - 180 mg - Filmomhulde tablet
Aripiprazol Genthon 15 mg, orodispergeerbare tabletten;ARIPIPRAZOL;15 mg;Orodispergeerbare tablet;ARIPIPRAZOL - 15 mg - Orodispergeerbare tablet
Gabapentine Aurobindo 600 mg, filmomhulde tabletten;GABAPENTINE;600 mg;Filmomhulde tablet;GABAPENTINE - 600 mg - Filmomhulde tablet
