Brandname;ActiveIngredient;Strength;DosageForm;PrescribingProduct;Kolom1
Rytmonorm 300 mg, omhulde tabletten;PROPAFENON;300 mg;Filmomhulde tablet;PROPAFENON - 300 mg - Filmomhulde tablet;40
Tenarox 10 mg filmomhulde tabletten;RIVAROXABAN;10 mg;Filmomhulde tablet;RIVAROXABAN - 10 mg - Filmomhulde tablet;40
VasoKINOX 800 ppm mol/mol, medicinaal gas, samengeperst;STIKSTOFOXIDE;800 ppm;Medicinaal gas;STIKSTOFOXIDE - 800 ppm - Medicinaal gas;40
Propranolol HCl Accord 80 mg, filmomhulde tabletten;PROPRANOLOL;80 mg;Filmomhulde tablet;PROPRANOLOL - 80 mg - Filmomhulde tablet;40
Deferasirox Synthon 90 mg, filmomhulde tabletten;DEFERASIROX;90 mg;Filmomhulde tablet;DEFERASIROX - 90 mg - Filmomhulde tablet;40
Solifenacinesuccinaat CF 5 mg, filmomhulde tabletten;SOLIFENACINE;5 mg;Filmomhulde tablet;SOLIFENACINE - 5 mg - Filmomhulde tablet;40
Metformine HCl Accord 850 mg filmomhulde tabletten;METFORMINE;850 mg;Filmomhulde tablet;METFORMINE - 850 mg - Filmomhulde tablet;40
Propranolol HCl Amarox 80 mg, filmomhulde tabletten;PROPRANOLOL;80 mg;Filmomhulde tablet;PROPRANOLOL - 80 mg - Filmomhulde tablet;40
Glucose 2,5% en natriumchloride 0,45%, infusie- vloeistof, 50 ml, 100 ml, 250 ml, 500 ml en 1000 ml;GLUCOSE/;2,50%;Oplossing voor infusie;GLUCOSE/ - 2,5% - Oplossing voor infusie;40
Ikametin 50 mg, filmomhulde tabletten;IBANDRONAAT;50 mg;Filmomhulde tablet;IBANDRONAAT - 50 mg - Filmomhulde tablet;40
Ivabradine Amarox 7,5 mg, filmomhulde tabletten;IVABRADINE;7,5 mg;Filmomhulde tablet;IVABRADINE - 7,5 mg - Filmomhulde tablet;40
Deferasirox CF 90 mg, filmomhulde tabletten;DEFERASIROX;90 mg;Filmomhulde tablet;DEFERASIROX - 90 mg - Filmomhulde tablet;40
Tolpermyo 150 mg filmomhulde tabletten;TOLPERISON;150 mg;Filmomhulde tablet;TOLPERISON - 150 mg - Filmomhulde tablet;40
Etoricoxib Glenmark 120 mg, filmomhulde tabletten;ETORICOXIB;120 mg;Filmomhulde tablet;ETORICOXIB - 120 mg - Filmomhulde tablet;40
Clopidogrel Accord 75 mg filmomhulde tabletten;CLOPIDOGREL;75 mg;Filmomhulde tablet;CLOPIDOGREL - 75 mg - Filmomhulde tablet;40
Prucalopride Prolepha 1 mg filmomhulde tabletten;PRUCALOPRIDE;1 mg;Filmomhulde tablet;PRUCALOPRIDE - 1 mg - Filmomhulde tablet;40
Bixodalan 500 mg filmomhulde tabletten;ABIRATERON;500 mg;Filmomhulde tablet;ABIRATERON - 500 mg - Filmomhulde tablet;40
Plavix, filmomhulde tabletten 75 mg;CLOPIDOGREL;75 mg;Filmomhulde tablet;CLOPIDOGREL - 75 mg - Filmomhulde tablet;40
Esbriet 267 mg, filmomhulde tablet;PIRFENIDON;267 mg;Filmomhulde tablet;PIRFENIDON - 267 mg - Filmomhulde tablet;40
Tracleer 32 mg, dispergeerbare tabletten;BOSENTAN;32 mg;Dispergeerbare tablet;BOSENTAN - 32 mg - Dispergeerbare tablet;40
Zilibra 200 mg filmomhulde tabletten;LACOSAMIDE;200 mg;Filmomhulde tablet;LACOSAMIDE - 200 mg - Filmomhulde tablet;40
Multaq 400 mg, filmomhulde tabletten;DRONEDARON;400 mg;Filmomhulde tablet;DRONEDARON - 400 mg - Filmomhulde tablet;40
Vizimpro 30 mg filmomhulde tabletten;DACOMITINIB;30 mg;Filmomhulde tablet;DACOMITINIB - 30 mg - Filmomhulde tablet;40
Zyprexa, 2.5 mg omhulde tabletten;OLANZAPINE;2,5 mg;Filmomhulde tablet;OLANZAPINE - 2,5 mg - Filmomhulde tablet;40
Ozawade 4.5 mg filmomhulde tabletten;PITOLISANT;4,5 mg;Filmomhulde tablet;PITOLISANT - 4,5 mg - Filmomhulde tablet;40
Latuda 18,5 mg, filmomhulde tabletten;LURASIDON;18,5 mg;Filmomhulde tablet;LURASIDON - 18,5 mg - Filmomhulde tablet;40
Vimpat 200 mg filmomhulde tabletten;LACOSAMIDE;200 mg;Filmomhulde tablet;LACOSAMIDE - 200 mg - Filmomhulde tablet;40
Viagra 100 mg, omhulde tabletten;SILDENAFIL;100 mg;Filmomhulde tablet;SILDENAFIL - 100 mg - Filmomhulde tablet;40
Olanzapine TEVA 2,5 mg, filmomhulde tabletten;OLANZAPINE;2,5 mg;Filmomhulde tablet;OLANZAPINE - 2,5 mg - Filmomhulde tablet;40
Abirateron Vipharm 500 mg, filmomhulde tabletten;ABIRATERON;500 mg;Filmomhulde tablet;ABIRATERON - 500 mg - Filmomhulde tablet;40
Zydelig 100 mg, filmomhulde tablet;IDELALISIB;100 mg;Filmomhulde tablet;IDELALISIB - 100 mg - Filmomhulde tablet;40
Quofenix 450 mg, tabletten;DELAFLOXACINEMEGLUMINE;450 mg;Tablet;DELAFLOXACINEMEGLUMINE - 450 mg - Tablet;40
Sovaldi 400 mg filmomhulde tabletten;SOFOSBUVIR;400 mg;Filmomhulde tablet;SOFOSBUVIR - 400 mg - Filmomhulde tablet;40
Corlentor 7,5 mg, filmomhulde tablet;IVABRADINE;7,5 mg;Filmomhulde tablet;IVABRADINE - 7,5 mg - Filmomhulde tablet;40
Moventig 12,5 mg filmomhulde tabletten;NALOXEGOL;12,5 mg;Filmomhulde tablet;NALOXEGOL - 12,5 mg - Filmomhulde tablet;40
Ivabradine Teva 7,5 mg, filmomhulde tabletten;IVABRADINE;7,5 mg;Filmomhulde tablet;IVABRADINE - 7,5 mg - Filmomhulde tablet;40
VFEND 50 mg, filmomhulde tabletten;VORICONAZOL;50 mg;Filmomhulde tablet;VORICONAZOL - 50 mg - Filmomhulde tablet;40
Voriconazol Pfizer 50 mg filmomhulde tabletten;VORICONAZOL;50 mg;Filmomhulde tablet;VORICONAZOL - 50 mg - Filmomhulde tablet;40
Arpetran 100 mg oplosbare tabletten;SAPROPTERINE;100 mg;Oplosbare tablet;SAPROPTERINE - 100 mg - Oplosbare tablet;40
Deferiprone Lipomed 500 mg filmomhulde tabletten;DEFERIPRON;500 mg;Filmomhulde tablet;DEFERIPRON - 500 mg - Filmomhulde tablet;40
Saxagliptine Sandoz 5 mg, filmomhulde tabletten;SAXAGLIPTINE;5 mg;Filmomhulde tablet;SAXAGLIPTINE - 5 mg - Filmomhulde tablet;40
Linagliptine Viatris 5 mg, filmomhulde tabletten;LINAGLIPTINE;5 mg;Filmomhulde tablet;LINAGLIPTINE - 5 mg - Filmomhulde tablet;40
Zyllt 75 mg filmomhulde tabletten;CLOPIDOGREL;75 mg;Filmomhulde tablet;CLOPIDOGREL - 75 mg - Filmomhulde tablet;40
Cosim 150 mg filmomhulde tabletten;LACOSAMIDE;150 mg;Filmomhulde tablet;LACOSAMIDE - 150 mg - Filmomhulde tablet;40
Jyseleca 100 mg, filmomhulde tabletten;FILGOTINIB;100 mg;Filmomhulde tablet;FILGOTINIB - 100 mg - Filmomhulde tablet;40
Resolor filmomhulde tabletten, 1 mg;PRUCALOPRIDE;1 mg;Filmomhulde tablet;PRUCALOPRIDE - 1 mg - Filmomhulde tablet;40
Lamivudine Teva Pharma BV, 150 mg filmomhulde tabletten;LAMIVUDINE;150 mg;Filmomhulde tablet;LAMIVUDINE - 150 mg - Filmomhulde tablet;40
Pifeltro 100 mg filmomhulde tabletten;DORAVIRINE;100 mg;Filmomhulde tablet;DORAVIRINE - 100 mg - Filmomhulde tablet;40
Alunbrig 180 mg, filmomhulde tablet;BRIGATINIB;180 mg;Filmomhulde tablet;BRIGATINIB - 180 mg - Filmomhulde tablet;40
Pirfenidon Viatris 801 mg filmomhulde tabletten;PIRFENIDON;801 mg;Filmomhulde tablet;PIRFENIDON - 801 mg - Filmomhulde tablet;40
Myambutol 400 mg, filmomhulde tabletten;ETHAMBUTOL;400 mg;Filmomhulde tablet;ETHAMBUTOL - 400 mg - Filmomhulde tablet;40
Acular 0,5%, oogdruppels;KETOROLACTROMETAMOL;0,50%;Oogdruppels;KETOROLACTROMETAMOL - 0,5% - Oogdruppels;40
XIFAXAN 550 mg  filmomhulde tabletten;RIFAXIMINE;550 mg;Filmomhulde tablet;RIFAXIMINE - 550 mg - Filmomhulde tablet;40
Tranxène 50, omhulde tabletten 50 mg;CLORAZEPAAT;50 mg;Filmomhulde tablet;CLORAZEPAAT - 50 mg - Filmomhulde tablet;40
Lacosamide Aristo 100 mg, filmomhulde tabletten;LACOSAMIDE;100 mg;Filmomhulde tablet;LACOSAMIDE - 100 mg - Filmomhulde tablet;40
Solifenacinesuccinaat Teva 5 mg, filmomhulde tabletten;SOLIFENACINE;5 mg;Filmomhulde tablet;SOLIFENACINE - 5 mg - Filmomhulde tablet;40
Escitalopram Grindeks 5 mg filmomhulde tabletten;ESCITALOPRAM;5 mg;Filmomhulde tablet;ESCITALOPRAM - 5 mg - Filmomhulde tablet;40
Solifenacinesuccinaat Aristo 5 mg filmomhulde tabletten;SOLIFENACINE;5 mg;Filmomhulde tablet;SOLIFENACINE - 5 mg - Filmomhulde tablet;40
Quetiapine Nevik 300 mg, filmomhulde tabletten;QUETIAPINE;300 mg;Filmomhulde tablet;QUETIAPINE - 300 mg - Filmomhulde tablet;40
Risperidon Teva 0,5 mg, filmomhulde tabletten;RISPERIDON;0,5 mg;Filmomhulde tablet;RISPERIDON - 0,5 mg - Filmomhulde tablet;40
Montelunio 10 mg filmomhulde tabletten;MONTELUKAST;10 mg;Filmomhulde tablet;MONTELUKAST - 10 mg - Filmomhulde tablet;40
Sevelameercarbonaat Mylan 800 mg, filmomhulde tabletten;SEVELAMEER;800 mg;Filmomhulde tablet;SEVELAMEER - 800 mg - Filmomhulde tablet;40
Rivaroxaban Intas 20 mg, filmomhulde tabletten;RIVAROXABAN;20 mg;Filmomhulde tablet;RIVAROXABAN - 20 mg - Filmomhulde tablet;40
Softacor 3,35 mg/ml oogdruppels, oplossing in verpakking voor eenmalig gebruik;HYDROCORTISON;3,35 mg/ml;Oogdruppels;HYDROCORTISON - 3,35 mg/ml - Oogdruppels;40
Cimetidine Accord 200 mg, filmomhulde tabletten;CIMETIDINE;200 mg;Filmomhulde tablet;CIMETIDINE - 200 mg - Filmomhulde tablet;40
Propranolol HCl Sandoz 10, tabletten 10 mg;PROPRANOLOL;10 mg;Filmomhulde tablet;PROPRANOLOL - 10 mg - Filmomhulde tablet;40
Irbesartan SUN 150 mg filmomhulde tabletten;IRBESARTAN;150 mg;Filmomhulde tablet;IRBESARTAN - 150 mg - Filmomhulde tablet;40
Rivaroxaban Macleods 15 mg + 20 mg, filmomhulde tabletten;RIVAROXABAN;15 mg;Filmomhulde tablet;RIVAROXABAN - 15 mg - Filmomhulde tablet;40
Mirtazapine Sandoz 30 mg, filmomhulde tabletten;MIRTAZAPINE;30 mg;Filmomhulde tablet;MIRTAZAPINE - 30 mg - Filmomhulde tablet;40
Moxonur 0,2 mg, filmomhulde tabletten;MOXONIDINE;0,2 mg;Filmomhulde tablet;MOXONIDINE - 0,2 mg - Filmomhulde tablet;40
Ivabradine Aurobindo 7,5 mg, filmomhulde tabletten;IVABRADINE;7,5 mg;Filmomhulde tablet;IVABRADINE - 7,5 mg - Filmomhulde tablet;40
Irbesartan Accord 300 mg filmomhulde tabletten;IRBESARTAN;300 mg;Filmomhulde tablet;IRBESARTAN - 300 mg - Filmomhulde tablet;40
Mirtazapine SDZ 15 mg, filmomhulde tabletten;MIRTAZAPINE;15 mg;Filmomhulde tablet;MIRTAZAPINE - 15 mg - Filmomhulde tablet;40
Deferasirox Xiromed 90 mg filmomhulde tabletten;DEFERASIROX;90 mg;Filmomhulde tablet;DEFERASIROX - 90 mg - Filmomhulde tablet;40
Metoprololtartraat Aurobindo 100 mg, filmomhulde tabletten;METOPROLOL;100 mg;Filmomhulde tablet;METOPROLOL - 100 mg - Filmomhulde tablet;40
Celiprolol HCL Teva 200 mg, filmomhulde tabletten;CELIPROLOL;200 mg;Filmomhulde tablet;CELIPROLOL - 200 mg - Filmomhulde tablet;40
Neophyr 225 ppm mol/mol medicinaal gas, samengeperst;STIKSTOFOXIDE;225 ppm;Medicinaal gas;STIKSTOFOXIDE - 225 ppm - Medicinaal gas;40
Remeron 45 mg, filmomhulde tabletten;MIRTAZAPINE;45 mg;Filmomhulde tablet;MIRTAZAPINE - 45 mg - Filmomhulde tablet;40
Metformine HCl 1A Pharma tablet 850 mg, filmomhulde tabletten;METFORMINE;850 mg;Filmomhulde tablet;METFORMINE - 850 mg - Filmomhulde tablet;40
Sevelamer-carbonaat Genthon 800 mg, filmomhulde tabletten;SEVELAMEER;800 mg;Filmomhulde tablet;SEVELAMEER - 800 mg - Filmomhulde tablet;40
Moxonidine 0,3 PCH, filmomhulde tabletten 0,3 mg;MOXONIDINE;0,3 mg;Filmomhulde tablet;MOXONIDINE - 0,3 mg - Filmomhulde tablet;40
Deferasirox Umedica 90 mg filmomhulde tabletten;DEFERASIROX;90 mg;Filmomhulde tablet;DEFERASIROX - 90 mg - Filmomhulde tablet;40
Ambrisentan Sandoz 10 mg, filmomhulde tabletten;AMBRISENTAN;10 mg;Filmomhulde tablet;AMBRISENTAN - 10 mg - Filmomhulde tablet;40
Sildenafil CF 100 mg, filmomhulde tabletten;SILDENAFIL;100 mg;Filmomhulde tablet;SILDENAFIL - 100 mg - Filmomhulde tablet;40
Effezel Forte 3 mg/g + 25 mg/g, gel;ADAPALEEN/BENZOYLPEROXIDE;3 mg/g;Gel;ADAPALEEN/BENZOYLPEROXIDE - 3 mg/g - Gel;40
Topiramaat Aurobindo 100 mg, filmomhulde tabletten;TOPIRAMAAT;100 mg;Filmomhulde tablet;TOPIRAMAAT - 100 mg - Filmomhulde tablet;40
Quetiapine Nevik 200 mg, filmomhulde tabletten;QUETIAPINE;200 mg;Filmomhulde tablet;QUETIAPINE - 200 mg - Filmomhulde tablet;40
Mirtazapine Amarox 15 mg filmomhulde tabletten;MIRTAZAPINE;15 mg;Filmomhulde tablet;MIRTAZAPINE - 15 mg - Filmomhulde tablet;40
Teveten 400, filmomhulde tabletten 400 mg;EPROSARTAN;400 mg;Filmomhulde tablet;EPROSARTAN - 400 mg - Filmomhulde tablet;40
Metformine HCl 500 mg Teva, filmomhulde tabletten;METFORMINE;500 mg;Filmomhulde tablet;METFORMINE - 500 mg - Filmomhulde tablet;40
Telmisartan Glenmark 20 mg, Filmomhulde Tabletten;TELMISARTAN;20 mg;Filmomhulde tablet;TELMISARTAN - 20 mg - Filmomhulde tablet;40
Lamivudine Sandoz 100 mg, filmomhulde tabletten;LAMIVUDINE;100 mg;Filmomhulde tablet;LAMIVUDINE - 100 mg - Filmomhulde tablet;40
Etoricoxib Sandoz 120 mg, filmomhulde tabletten;ETORICOXIB;120 mg;Filmomhulde tablet;ETORICOXIB - 120 mg - Filmomhulde tablet;40
Lamivudine Accord 100 mg, filmomhulde tabletten;LAMIVUDINE;100 mg;Filmomhulde tablet;LAMIVUDINE - 100 mg - Filmomhulde tablet;40
EMCOR DECO 2,5 mg filmomhulde tabletten;BISOPROLOL;2,5 mg;Filmomhulde tablet;BISOPROLOL - 2,5 mg - Filmomhulde tablet;40
Topiramaat Glenmark 200 mg, filmomhulde tabletten;TOPIRAMAAT;200 mg;Filmomhulde tablet;TOPIRAMAAT - 200 mg - Filmomhulde tablet;40
Pirfenidon CF 801 mg, filmomhulde tabletten;PIRFENIDON;801 mg;Filmomhulde tablet;PIRFENIDON - 801 mg - Filmomhulde tablet;40
Methyldopa CF 500 mg, tabletten;METHYLDOPA;500 mg;Filmomhulde tablet;METHYLDOPA - 500 mg - Filmomhulde tablet;40
Celiprolol HCL Teva 400 mg, filmomhulde tabletten;CELIPROLOL;400 mg;Filmomhulde tablet;CELIPROLOL - 400 mg - Filmomhulde tablet;40
Topiramaat Mylan 200 mg, filmomhulde tabletten;TOPIRAMAAT;200 mg;Filmomhulde tablet;TOPIRAMAAT - 200 mg - Filmomhulde tablet;40
Ofloxacine 400 PCH, filmomhulde tabletten 400 mg;OFLOXACINE;400 mg;Filmomhulde tablet;OFLOXACINE - 400 mg - Filmomhulde tablet;40
Sumatriptan Viatris 50 mg, filmomhulde tabletten;SUMATRIPTAN;50 mg;Filmomhulde tablet;SUMATRIPTAN - 50 mg - Filmomhulde tablet;40
Deferasirox Abdi 90 mg filmomhulde tabletten;DEFERASIROX;90 mg;Filmomhulde tablet;DEFERASIROX - 90 mg - Filmomhulde tablet;40
Leflunomide Sandoz 10 mg, filmomhulde tabletten;LEFLUNOMIDE;10 mg;Filmomhulde tablet;LEFLUNOMIDE - 10 mg - Filmomhulde tablet;40
Deferasirox Vivanta 90 mg filmomhulde tabletten;DEFERASIROX;90 mg;Filmomhulde tablet;DEFERASIROX - 90 mg - Filmomhulde tablet;40
Vesicare 5 mg, filmomhulde tabletten;SOLIFENACINE;5 mg;Filmomhulde tablet;SOLIFENACINE - 5 mg - Filmomhulde tablet;40
Rivaroxaban Macleods 10 mg, filmomhulde tablette;RIVAROXABAN;10 mg;Filmomhulde tablet;RIVAROXABAN - 10 mg - Filmomhulde tablet;40
Etoricoxib Teva 120 mg, filmomhulde tabletten;ETORICOXIB;120 mg;Filmomhulde tablet;ETORICOXIB - 120 mg - Filmomhulde tablet;40
Escitalopram 5 mg Teva, filmomhulde tabletten;ESCITALOPRAM;5 mg;Filmomhulde tablet;ESCITALOPRAM - 5 mg - Filmomhulde tablet;40
XIFAXAN 550 mg filmomhulde tabletten;RIFAXIMINE;550 mg;Filmomhulde tablet;RIFAXIMINE - 550 mg - Filmomhulde tablet;40
Topiramaat CF 100 mg, filmomhulde tabletten;TOPIRAMAAT;100 mg;Filmomhulde tablet;TOPIRAMAAT - 100 mg - Filmomhulde tablet;40
Irbesartan Urquima 150 mg filmomhulde tabletten;IRBESARTAN;150 mg;Filmomhulde tablet;IRBESARTAN - 150 mg - Filmomhulde tablet;40
Mirtazapine Sandoz 15, filmomhulde tabletten 15 mg;MIRTAZAPINE;15 mg;Filmomhulde tablet;MIRTAZAPINE - 15 mg - Filmomhulde tablet;40
Pirfenidon Viatris 267 mg filmomhulde tabletten;PIRFENIDON;267 mg;Filmomhulde tablet;PIRFENIDON - 267 mg - Filmomhulde tablet;40
Daklinza 60 mg  filmomhulde tabletten;DACLATASVIR;60 mg;Filmomhulde tablet;DACLATASVIR - 60 mg - Filmomhulde tablet;40
Leflunomide Zentiva 10 mg filmomhulde tabletten;LEFLUNOMIDE;10 mg;Filmomhulde tablet;LEFLUNOMIDE - 10 mg - Filmomhulde tablet;40
Jyseleca 200 mg, filmomhulde tabletten;FILGOTINIB;200 mg;Filmomhulde tablet;FILGOTINIB - 200 mg - Filmomhulde tablet;40
Daklinza 90 mg filmomhulde tabletten;DACLATASVIR;90 mg;Filmomhulde tablet;DACLATASVIR - 90 mg - Filmomhulde tablet;40
Quetiapine Fair-Med 200 mg, filmomhulde tabletten;QUETIAPINE;200 mg;Filmomhulde tablet;QUETIAPINE - 200 mg - Filmomhulde tablet;40
Sildenafil ratiopharm 100 mg, filmomhulde tabletten;SILDENAFIL;100 mg;Filmomhulde tablet;SILDENAFIL - 100 mg - Filmomhulde tablet;40
Stercore 2 mg filmomhulde tabletten;PRUCALOPRIDE;2 mg;Filmomhulde tablet;PRUCALOPRIDE - 2 mg - Filmomhulde tablet;40
Arava 20 mg, filmomhulde tabletten;LEFLUNOMIDE;20 mg;Filmomhulde tablet;LEFLUNOMIDE - 20 mg - Filmomhulde tablet;40
Evrenzo 100 mg filmomhulde tabletten;ROXADUSTAT;100 mg;Filmomhulde tablet;ROXADUSTAT - 100 mg - Filmomhulde tablet;40
Epivir 150 mg, tabletten;LAMIVUDINE;150 mg;Filmomhulde tablet;LAMIVUDINE - 150 mg - Filmomhulde tablet;40
Deferasirox Stada 90 mg, filmomhulde tabletten;DEFERASIROX;90 mg;Filmomhulde tablet;DEFERASIROX - 90 mg - Filmomhulde tablet;40
Rivaroxaban 1A Pharma 20 mg, filmomhulde tabletten;RIVAROXABAN;20 mg;Filmomhulde tablet;RIVAROXABAN - 20 mg - Filmomhulde tablet;40
Tybost 150 mg filmomhulde tabletten;COBICISTAT;150 mg;Filmomhulde tablet;COBICISTAT - 150 mg - Filmomhulde tablet;40
Xiltess 10 mg filmomhulde tabletten;RIVAROXABAN;10 mg;Filmomhulde tablet;RIVAROXABAN - 10 mg - Filmomhulde tablet;40
Uptravi 800 microgram, filmomhulde tabletten;SELEXIPAG;800 mcg;Filmomhulde tablet;SELEXIPAG - 800 mcg - Filmomhulde tablet;40
Exjade 90 mg, filmomhulde tabletten;DEFERASIROX;90 mg;Filmomhulde tablet;DEFERASIROX - 90 mg - Filmomhulde tablet;40
Zilibra 150 mg filmomhulde tabletten;LACOSAMIDE;150 mg;Filmomhulde tablet;LACOSAMIDE - 150 mg - Filmomhulde tablet;40
Blomensy 10 mg filmomhulde tabletten;RIVAROXABAN;10 mg;Filmomhulde tablet;RIVAROXABAN - 10 mg - Filmomhulde tablet;40
Xaboplax 15 mg + 20 mg, filmomhulde tabletten;RIVAROXABAN;15 mg;Filmomhulde tablet;RIVAROXABAN - 15 mg - Filmomhulde tablet;40
Cosim 200 mg filmomhulde tabletten;LACOSAMIDE;200 mg;Filmomhulde tablet;LACOSAMIDE - 200 mg - Filmomhulde tablet;40
Ambrisentan Zentiva 10 mg filmomhulde tabletten;AMBRISENTAN;10 mg;Filmomhulde tablet;AMBRISENTAN - 10 mg - Filmomhulde tablet;40
Leflunomide ratiopharm 10 mg, filmomhulde tabletten;LEFLUNOMIDE;10 mg;Filmomhulde tablet;LEFLUNOMIDE - 10 mg - Filmomhulde tablet;40
Aprovel 150 mg, filmomhulde tabletten;IRBESARTAN;150 mg;Filmomhulde tablet;IRBESARTAN - 150 mg - Filmomhulde tablet;40
Olanzapine Apotex 7,5 mg, filmomhulde tabletten;OLANZAPINE;7,5 mg;Filmomhulde tablet;OLANZAPINE - 7,5 mg - Filmomhulde tablet;40
Rivaroxaban Accord 20 mg filmomhulde tablet;RIVAROXABAN;20 mg;Filmomhulde tablet;RIVAROXABAN - 20 mg - Filmomhulde tablet;40
Rivaroxaban Accord 10 mg filmomhulde tablet;RIVAROXABAN;10 mg;Filmomhulde tablet;RIVAROXABAN - 10 mg - Filmomhulde tablet;40
Rivaroxaban 1A Pharma 15 mg, filmomhulde tabletten;RIVAROXABAN;15 mg;Filmomhulde tablet;RIVAROXABAN - 15 mg - Filmomhulde tablet;40
Deferasirox Accord  90 mg, filmomhulde tabletten;DEFERASIROX;90 mg;Filmomhulde tablet;DEFERASIROX - 90 mg - Filmomhulde tablet;40
Mektovi 45 mg, filmomhulde tabletten;BINIMETINIB;45 mg;Filmomhulde tablet;BINIMETINIB - 45 mg - Filmomhulde tablet;40
Vantobra 170 mg, verneveloplossing;TOBRAMYCINE;170 mg;Verneveloplossing;TOBRAMYCINE - 170 mg - Verneveloplossing;40
Thymanax 25 mg, filmomhulde tablet;AGOMELATINE;25 mg;Filmomhulde tablet;AGOMELATINE - 25 mg - Filmomhulde tablet;40
Salagen 5 mg, filmomhulde tabletten;PILOCARPINE;5 mg;Filmomhulde tablet;PILOCARPINE - 5 mg - Filmomhulde tablet;39
Coversyl arg 5 mg filmomhulde tabletten;PERINDOPRIL;5 mg;Filmomhulde tablet;PERINDOPRIL - 5 mg - Filmomhulde tablet;39
Coversyl arg 5 mg, filmomhulde tabletten;PERINDOPRIL;5 mg;Filmomhulde tablet;PERINDOPRIL - 5 mg - Filmomhulde tablet;39
Relpax 40, filmomhulde tabletten 40 mg;ELETRIPTAN;40 mg;Filmomhulde tablet;ELETRIPTAN - 40 mg - Filmomhulde tablet;39
Diovan 320 mg filmomhulde tabletten;VALSARTAN;320 mg;Filmomhulde tablet;VALSARTAN - 320 mg - Filmomhulde tablet;39
Ticagrelor Krka 90 mg filmomhulde tabletten;TICAGRELOR;90 mg;Filmomhulde tablet;TICAGRELOR - 90 mg - Filmomhulde tablet;39
Ticagrelor CF 90 mg, filmomhulde tabletten;TICAGRELOR;90 mg;Filmomhulde tablet;TICAGRELOR - 90 mg - Filmomhulde tablet;39
Labetalol HCl Mylan 200 mg, tabletten;LABETALOL;200 mg;Filmomhulde tablet;LABETALOL - 200 mg - Filmomhulde tablet;39
Nimotop 30 mg, filmomhulde tabletten;NIMODIPINE;30 mg;Filmomhulde tablet;NIMODIPINE - 30 mg - Filmomhulde tablet;39
Sildenafil Aurobindo 25 mg, filmomhulde tabletten;SILDENAFIL;25 mg;Filmomhulde tablet;SILDENAFIL - 25 mg - Filmomhulde tablet;39
Labetalol HCl Teva 400 mg, omhulde tabletten;LABETALOL;400 mg;Filmomhulde tablet;LABETALOL - 400 mg - Filmomhulde tablet;39
Exemestaan Hikma 25 mg, filmomhulde tabletten;EXEMESTAAN;25 mg;Filmomhulde tablet;EXEMESTAAN - 25 mg - Filmomhulde tablet;39
Olanzapine Neuraxpharm 15 mg, filmomhulde tabletten;OLANZAPINE;15 mg;Filmomhulde tablet;OLANZAPINE - 15 mg - Filmomhulde tablet;39
Entrizen 12,5 mg, filmomhulde tabletten;LOSARTAN;12,5 mg;Filmomhulde tablet;LOSARTAN - 12,5 mg - Filmomhulde tablet;39
Citalopram Aristo 10 mg filmomhulde tabletten;CITALOPRAM;10 mg;Filmomhulde tablet;CITALOPRAM - 10 mg - Filmomhulde tablet;39
Ecoxyton 90 mg filmomhulde tabletten;ETORICOXIB;90 mg;Filmomhulde tablet;ETORICOXIB - 90 mg - Filmomhulde tablet;39
Darunavir Aurobindo 400 mg, filmomhulde tabletten;DARUNAVIR;400 mg;Filmomhulde tablet;DARUNAVIR - 400 mg - Filmomhulde tablet;39
Gefitinib Glenmark 250 mg filmomhulde tabletten;GEFITINIB;250 mg;Filmomhulde tablet;GEFITINIB - 250 mg - Filmomhulde tablet;39
Cinacalcet Glenmark 60 mg filmomhulde tabletten;CINACALCET;60 mg;Filmomhulde tablet;CINACALCET - 60 mg - Filmomhulde tablet;39
Etoricoxib Sandoz 90 mg, filmomhulde tabletten;ETORICOXIB;90 mg;Filmomhulde tablet;ETORICOXIB - 90 mg - Filmomhulde tablet;39
Citalopram ratiopharm 10 mg, filmomhulde tabletten;CITALOPRAM;10 mg;Filmomhulde tablet;CITALOPRAM - 10 mg - Filmomhulde tablet;39
Etoricoxib Viatris 90 mg, filmomhulde tabletten;ETORICOXIB;90 mg;Filmomhulde tablet;ETORICOXIB - 90 mg - Filmomhulde tablet;39
Cibacen 10, omhulde tabletten 10 mg;BENAZEPRIL;10 mg;Filmomhulde tablet;BENAZEPRIL - 10 mg - Filmomhulde tablet;39
Paroxetine Viatris 30 mg, filmomhulde tabletten;PAROXETINE;30 mg;Filmomhulde tablet;PAROXETINE - 30 mg - Filmomhulde tablet;39
Linezolid Mylan 600 mg, filmomhulde tabletten;LINEZOLID;600 mg;Filmomhulde tablet;LINEZOLID - 600 mg - Filmomhulde tablet;39
Finasteride Accord 1 mg, filmomhulde tabletten;FINASTERIDE;1 mg;Filmomhulde tablet;FINASTERIDE - 1 mg - Filmomhulde tablet;39
Sildenafil Aurobindo 50 mg, filmomhulde tabletten;SILDENAFIL;50 mg;Filmomhulde tablet;SILDENAFIL - 50 mg - Filmomhulde tablet;39
Sertraline Aurobindo 50 mg, filmomhulde tabletten;SERTRALINE;50 mg;Filmomhulde tablet;SERTRALINE - 50 mg - Filmomhulde tablet;39
Sertraline SUN 50 mg, filmomhulde tabletten;SERTRALINE;50 mg;Filmomhulde tablet;SERTRALINE - 50 mg - Filmomhulde tablet;39
