PRESCRIBING_PRODUCT;AFLEVERSTATUS
NIRAPARIBTOSILAAT - 100 mg - Capsule;Uitsluitend recept
OSELTAMIVIR - 12 mg/ml - Poeder voor orale suspensie;Uitsluitend recept
EFAVIRENZ - 30 mg/ml - Drank;Uitsluitend recept
TEMSIROLIMUS - 25 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
, (L-)/LYSINE, L- - 25 g/25 g - Oplossing voor infusie;Uitsluitend recept
METHOXYPOLYETHYLEENGLYCOLEPOETINE BETA - 60 µg/0,3 ml - Oplossing voor injectie;Uitsluitend recept
VARDENAFIL - 10 mg - Orodispergeerbare tablet;Uitsluitend recept
MONTELUKAST - 10 mg - Tablet;Uitsluitend recept
TRIENTINE - 100 mg - Capsule;Uitsluitend recept
ARACHIS HYPOGAEA SEMEN LICHT GEROOSTERD GEDEELTELIJK ONTVET, GEPOEDERD - 300 mg - Poeder voor oraal gebruik;Uitsluitend recept
MELATONINE - 2 mg - Tablet met verlengde afgifte;Uitsluitend recept
IVACAFTOR/TEZACAFTOR - 50 mg/ 75 mg - Filmomhulde tablet;Uitsluitend recept
FLUCICLOVINE [18F] - 1600 MBq/ml - Oplossing voor injectie;Uitsluitend recept
ENOXAPARINE - 4000 IE - Oplossing voor injectie;Uitsluitend recept
FOLLITROPINE BETA - 150 IE/0,5 ml - Oplossing voor injectie;Uitsluitend recept
MIRIKIZUMAB - 300 mg - Concentraat voor oplossing voor infusie;Uitsluitend recept
RILPIVIRINE - 25mg - Filmomhulde tablet;Uitsluitend recept
DARBEPOETINE ALFA - 100 microgram - Oplossing voor injectie;Uitsluitend recept
CORIFOLLITROPINE ALFA - 100 microgram - Oplossing voor injectie;Uitsluitend recept
SIMOCTOCOG ALFA - 2000 IE - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
COBICISTAT/DARUNAVIRETHANOLAAT/EMTRICITABINE/TENOFOVIRALAFENAMIDE - 800 mg/150 mg/200 mg/10 mg - Filmomhulde tablet;Uitsluitend recept
GLIBENCLAMIDE - 0,6 mg/ml - Suspensie voor oraal gebruik;Uitsluitend recept
EMPAGLIFLOZINE - 25 mg - Filmomhulde tablet;Uitsluitend recept
TECOVIRIMAT - 200 mg - Capsule;Uitsluitend recept
INTERFERON BETA-1B -  - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
EMPAGLIFLOZINE/METFORMINE - 5 mg/850 mg - Filmomhulde tablet;Uitsluitend recept
ROTIGOTINE - 4 mg - Pleister voor transdermaal gebruik;Uitsluitend recept
ERTUGLIFLOZINE-L-PYROGLUTAMINEZUUR - 5 mg - Filmomhulde tablet;Uitsluitend recept
PASIREOTIDEPAMOAAT - 20 mg - Poeder en oplosmiddel voor suspensie voor injectie;Uitsluitend recept
EZETIMIB/ROSUVASTATINE - 10 mg - Filmomhulde tablet;Uitsluitend recept
SEVELAMEER - 1,6 g - Poeder voor orale suspensie;Uitsluitend recept
CIPAGLUCOSIDASE ALFA - 105mg - Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
INSULINE GLARGINE/LIXISENATIDE - 100 eenheden/ml - Oplossing voor injectie;Uitsluitend recept
SEMAGLUTIDE - 1,7 mg - Oplossing voor injectie;Uitsluitend recept
GOLIMUMAB - 50 mg - Oplossing voor injectie;Uitsluitend recept
MERCAPTAMINE - 25 mg - Capsule;Uitsluitend recept
TRABECTEDINE - 0.25 mg - Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
LINZAGOLIXCHOLINE - 100 mg - Filmomhulde tablet;Uitsluitend recept
SIPONIMOD - 2 mg - Filmomhulde tablet;Uitsluitend recept
DASATINIB - 80mg - Filmomhulde tablet;Uitsluitend recept
UREUM C13 - 100 mg - Oplosbare tablet;Uitsluitend recept
CEFUROXIM - 750 mg - Poeder voor oplossing voor injectie;Uitsluitend recept
IDELALISIB - 100 mg - Filmomhulde tablet;Uitsluitend recept
ARTESUNAAT - 110 mg - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
TREOSULFAN - 5 g - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
ALTEPLASE - 2 mg - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
ATOSIBAN - 37,5 mg/ 5 ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
CINACALCET - 5 mg - Granulaat;Uitsluitend recept
LEVEND VERZWAKT CHIMERISCH GELE KOORTS (17D STAM) DENGUE VIRUS VACCIN, SEROYTPE 1 GEPRODUCEERD IN VERO CELLEN/LEVEND VERZWAKT CHIMERISCH GELE KOORTS (17D STAM) DENGUE VIRUS VACCIN, SEROYTPE 2 GEPRODUCEERD IN VERO CELLEN/LEVEND VERZWAKT CHIMERISCH GELE KOORTS (17D STAM) DENGUE VIRUS VACCIN, SEROYTPE 3 GEPRODUCEERD IN VERO CELLEN/LEVEND VERZWAKT CHIMERISCH GELE KOORTS (17D STAM) DENGUE VIRUS VACCIN, SEROYTPE 4 GEPRODUCEERD IN VERO CELLEN -  - Poeder en oplosmiddel voor suspensie voor injectie;Uitsluitend recept
REGADENOSON - 400 microgram - Oplossing voor injectie;Uitsluitend recept
DELAFLOXACINEMEGLUMINE - 450 mg - Tablet;Uitsluitend recept
GIVOSIRAN - 189 mg/ml - Oplossing voor injectie;Uitsluitend recept
FOLLITROPINE ALFA/LUTROPINE ALFA , RECOMBINANT - 150 IE/75 IE - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
TOZINAMERAN - 3 microgram/dosis - Dispersie voor injectie;Uitsluitend recept
RUXOLITINIB - 15 mg - Tablet;Uitsluitend recept
FOSNETUPITANT/PALONOSETRON - 235 mg / 0.25 mg - Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
ATOSIBAN - 6.75 mg/0.9 ml - Oplossing voor injectie;Uitsluitend recept
FOLLITROPINE ALFA - 1,5 ml - Oplossing voor injectie;Uitsluitend recept
PARECOXIB - 40 mg - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
ATORVASTATINE/EZETIMIB - 10 mg/40 mg - Tablet;Uitsluitend recept
INSULINE ISOFAAN, HUMAAN - 40 IE/ml - Suspensie voor injectie;Uitsluitend recept
TIPRANAVIR - 100 mg/ml - Drank;Uitsluitend recept
DUPILUMAB - 100 mg - Oplossing voor injectie;Uitsluitend recept
FENOFIBRAAT/SIMVASTATINE - 145 mg/20 mg - Filmomhulde tablet;Uitsluitend recept
FOLLITROPINE ALFA/LUTROPINE ALFA , RECOMBINANT - 0,72 ml - Oplossing voor injectie;Uitsluitend recept
ANTILICHAMEN TEGEN HEPATITUS B VIRUS OPPERVLAKTEANTIGEEN/HUMAAN HEPATITIS B IMMUNOGLOBULINE -  - Oplossing voor injectie;Uitsluitend recept
ASCIMINIB - 20mg - Filmomhulde tablet;Uitsluitend recept
RISANKIZUMAB - 360 mg - Oplossing voor injectie;Uitsluitend recept
COBICISTAT/ELVITEGRAVIR/EMTRICITABINE/TENOFOVIR/TENOFOVIRDISOPROXIL - 150 mg/150 mg/200 mg/245 mg - Filmomhulde tablet;Uitsluitend recept
ABACAVIR/DOLUTEGRAVIR/LAMIVUDINE - 5 mg/ 60 mg/ 30 mg - Dispergeerbare tablet;Uitsluitend recept
SOFOSBUVIR - 400 mg - Filmomhulde tablet;Uitsluitend recept
AMBRISENTAN - 2,5 mg - Filmomhulde tablet;Uitsluitend recept
RAVULIZUMAB - 300 mg/30 ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
RIOCIGUAT - 1,5 mg - Filmomhulde tablet;Uitsluitend recept
PIRTOBRUTINIB - 50 mg - Filmomhulde tablet;Uitsluitend recept
ALPELISIB - 200 mg - Filmomhulde tablet;Uitsluitend recept
THIOTEPA - 400 mg - Poeder en oplosmiddel voor oplossing voor infusie;Uitsluitend recept
LEVEND VERZWAKT INLFLUENZA VIRUSVACCIN A-VIETNAM-1203-2004 (H5N1) STAM (A-VIETNAM-1203-2004 MEDI 0141000136) -  - Neusspray;Uitsluitend recept
MARAVIROC - 20 mg/ml - Drank;Uitsluitend recept
BRENTUXIMAB VEDOTIN - 50 mg - Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
PALOPEGTERIPARATIDE - 420 microgram/1,4 ml - Oplossing voor injectie;Uitsluitend recept
EPOËTINE ALFA - 5000 IE - Oplossing voor injectie;Uitsluitend recept
TRAMETINIBDIMETHYLSULFOXIDE - 2 mg - Filmomhulde tablet;Uitsluitend recept
MERCAPTAMINE - 3,8 mg/ml - Oogdruppels;Uitsluitend recept
INTERFERON BETA-1A - 22 microgram - Oplossing voor injectie;Uitsluitend recept
NALOXEGOL - 12,5 mg - Filmomhulde tablet;Uitsluitend recept
ELASOMERAN - 0,2 mg/ml - Suspensie voor injectie;Uitsluitend recept
ERTUGLIFLOZINE-L-PYROGLUTAMINEZUUR/SITAGLIPTINE - 15 mg/100 mg - Filmomhulde tablet;Uitsluitend recept
LASMIDITANHEMI - 200 mg - Filmomhulde tablet;Uitsluitend recept
IDURSULFASE - 2 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
PNEUMOKOKKEN POLYSACCHARIDE SEROTYPE 1, GECONJUGEERD AAN PROTEÏNE D CARRIERPROTEÏNE/PNEUMOKOKKEN POLYSACCHARIDE SEROTYPE 14, GECONJUGEERD AAN PROTEÏNE D CARRIERPROTEÏNE/PNEUMOKOKKEN POLYSACCHARIDE SEROTYPE 18C, GECONJUGEERD AAN TETANUS TOXOÏD CARRIERPROTEÏNE/PNEUMOKOKKEN POLYSACCHARIDE SEROTYPE 19F, GECONJUGEERD AAN DIFTERIE TOXOÏD CARRIERPROTEÏNE/PNEUMOKOKKEN POLYSACCHARIDE SEROTYPE 23F, GECONJUGEERD AAN PROTEÏNE D CARRIERPROTEÏNE/PNEUMOKOKKEN POLYSACCHARIDE SEROTYPE 4, GECONJUGEERD AAN PROTEÏNE D CARRIERPROTEÏNE/PNEUMOKOKKEN POLYSACCHARIDE SEROTYPE 5, GECONJUGEERD AAN PROTEÏNE D CARRIERPROTEÏNE/PNEUMOKOKKEN POLYSACCHARIDE SEROTYPE 6B, GECONJUGEERD AAN PROTEÏNE D CARRIERPROTEÏNE/PNEUMOKOKKEN POLYSACCHARIDE SEROTYPE 7F, GECONJUGEERD AAN PROTEÏN D CARRIERPROTEÏNE/PNEUMOKOKKEN POLYSACCHARIDE SEROTYPE 9V, GECONJUGEERD AAN PROTEÏNE D CARRIERPROTEÏNE -  - Suspensie voor injectie;Uitsluitend recept
CASPOFUNGINE - 50 mg - Poeder voor oplossing voor infusie;Uitsluitend recept
BUROSUMAB - 10 mg - Oplossing voor injectie;Uitsluitend recept
SONIDEGIB - 200 mg - Capsule;Uitsluitend recept
UREUM C13 - 75 mg - Poeder voor drank;Uitsluitend recept
GLIBENCLAMIDE - 6 mg/ml - Suspensie voor oraal gebruik;Uitsluitend recept
NEVIRAPINE - 50 mg/5 ml - Suspensie voor oraal gebruik;Uitsluitend recept
ALPELISIB - 150 mg - Filmomhulde tablet;Uitsluitend recept
GUANFACINE - 2 mg - Tablet met verlengde afgifte;Uitsluitend recept
AFATINIB - 20 mg - Filmomhulde tablet;Uitsluitend recept
NONACOG BETA PEGOL - 3.000 IE - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
DEFERIPRON - 500 mg - Tablet;Uitsluitend recept
LACOSAMIDE - 10 mg/ml - Drank;Uitsluitend recept
RISPERIDON - 100mg - Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;Uitsluitend recept
DAMOCTOCOG ALFA PEGOL - 1000 IE - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
TACROLIMUS - 1 mg - Tablet met verlengde afgifte;Uitsluitend recept
ACICLOVIR - 50 mg/g - Crème;Uitsluitend recept
FUTIBATINIB - 4 mg - Filmomhulde tablet;Uitsluitend recept
DOSTARLIMAB - 500 mg - Oplossing voor infusie;Uitsluitend recept
CABOZANTINIB (S)- - 20 mg - Capsule;Uitsluitend recept
DEFERIPRON - 500 mg - Filmomhulde tablet;Uitsluitend recept
DOXORUBICINE - 50 mg - ;Uitsluitend recept
CORIFOLLITROPINE ALFA - 150 microgram - Oplossing voor injectie;Uitsluitend recept
CASPOFUNGINE - 70 mg - Poeder voor oplossing voor injectie;Uitsluitend recept
CONESTAT ALFA -  - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
CASIRIVIMAB/IMDEVIMAB - 300 mg - Oplossing voor injectie of infusie;Uitsluitend recept
HUMAAN ROTAVIRUSVACCIN, Levend verzwakt, reassortant serotype G1 (stam W179-9)/HUMAAN ROTAVIRUSVACCIN, Levend verzwakt, reassortant serotype G2 (stam SC2-9)/HUMAAN ROTAVIRUSVACCIN, Levend verzwakt, reassortant serotype G3 (stam W178-8)/HUMAAN ROTAVIRUSVACCIN, Levend verzwakt, reassortant serotype G4 (stam BrB-9)/HUMAAN ROTAVIRUSVACCIN, Levend verzwakt, reassortant serotype P1(8) (stam W179-4) -  - Drank;Uitsluitend recept
THIOTEPA - 15 mg - Poeder voor oplossing voor infusie;Uitsluitend recept
ARACHIS HYPOGAEA SEMEN LICHT GEROOSTERD GEDEELTELIJK ONTVET, GEPOEDERD - 0,5 mg - Poeder voor oraal gebruik;Uitsluitend recept
LONAPEGSOMATROPINE - 9,1 mg - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
BEVACIZUMAB - 400 mg/16 ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
FIBRINOGEEN, HUMAAN/THROMBINE, HUMAAN -  - Weefsellijm;Uitsluitend recept
SILTUXIMAB - 100 mg - Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
COLISTIMETHAAT  (Component A en B) - 662.500 IE - Inhalatiepoeder in harde capsule;Uitsluitend recept
BUPRENORFINE - 160 mg - Oplossing voor injectie;Uitsluitend recept
AMLODIPINE/HYDROCHLOORTHIAZIDE/OLMESARTANMEDOXOMIL - 40mg/5mg/25mg - Filmomhulde tablet;Uitsluitend recept
CICLOSPORINE - 1 mg/mL - Oogdruppels;Uitsluitend recept
PERTUZUMAB/TRASTUZUMAB - 1200/600 mg - Oplossing voor injectie;Uitsluitend recept
FENTANYL - 50 microgram/dosis - Neusspray;Uitsluitend recept
DABIGATRAN - 30 mg - Omhuld granulaat;Uitsluitend recept
IMIGLUCERASE -  - ;Uitsluitend recept
FILGRASTIM - 0,5 ml - Oplossing voor injectie of infusie;Uitsluitend recept
SUTIMLIMAB - 50mg/ml - Oplossing voor infusie;Uitsluitend recept
DEXAMETHASON - 40 mg - Tablet;Uitsluitend recept
ETHINYLESTRADIOL/NORELGESTROMINE - 203 microgram/24 uur - Pleister voor transdermaal gebruik;Uitsluitend recept
EPTACOG BETA (GEACTIVEERD) - 2mg - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
HYDROCHLOORTHIAZIDE/TELMISARTAN - 80/12,5 mg - Tablet;Uitsluitend recept
OPICAPON - 50 mg - Filmomhulde tablet;Uitsluitend recept
MOSUNETUZUMAB - 1 mg - Concentraat voor oplossing voor infusie;Uitsluitend recept
FILGRASTIM -  - Oplossing voor injectie of infusie;Uitsluitend recept
CARIPRAZINE - 6 mg - Capsule;Uitsluitend recept
ZICONOTIDE - 100 microgram/ml - Oplossing voor infusie;Uitsluitend recept
SELEXIPAG - 1400 microgram - Filmomhulde tablet;Uitsluitend recept
DAPTOMYCINE - 500 mg - Poeder voor oplossing voor injectie;Uitsluitend recept
FILGOTINIB - 100 mg - Filmomhulde tablet;Uitsluitend recept
UPADACITINIB - 15 mg - Tablet met verlengde afgifte;Uitsluitend recept
MOROCTOCOG ALFA - 250 IE - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
ENCORAFENIB - 75 mg - Capsule;Uitsluitend recept
MOSUNETUZUMAB - 30 mg - Concentraat voor oplossing voor infusie;Uitsluitend recept
DARUNAVIRETHANOLAAT - 400 mg - Filmomhulde tablet;Uitsluitend recept
ALOGLIPTINE/PIOGLITAZON - 25 mg/45 mg - Filmomhulde tablet;Uitsluitend recept
RAVULIZUMAB - 300 mg/3 ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
SOTORASIB - 240 mg - Filmomhulde tablet;Uitsluitend recept
PALIPERIDONPALMITAAT - 700 mg - Suspensie voor injectie;Uitsluitend recept
TUROCTOCOG ALFA - 1.500 IE - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
VERTEPORFINE - 15 mg - Poeder voor oplossing voor injectie;Uitsluitend recept
EPOËTINE ALFA - 3000 IE - Oplossing voor injectie;Uitsluitend recept
 - 150 mg/37,5 mg/200 mg - Filmomhulde tablet;Uitsluitend recept
DIFTERIETOXOÏDE, GEADSORBEERD/HAEMOPHILUS INFLUENZAE TYPE B POLYSACCHARIDE GECONJUGEERD AAN TETANUS TOXOÏD (PRP-T)/HEPATITIS B-OPPERVLAKTE-ANTIGEEN/PERTACTINE (69KD Buitenmembraan Proteine)/PERTUSSIS, FILAMENTEUS HAEMAGGLUTININE, GEADSORBEERD/PERTUSSISTOXOÏDE, GEINACTIVEERD, GEADSORBEERD/POLIOMYELITIS VIRUS TYPE I (Mahoney Stam) MONOVALENT, GEÏNACTIVEERD/POLIOMYELITIS VIRUS TYPE II (MEF-1 Stam) MONOVALENT, GEÏNACTIVEERD/POLIOMYELITIS VIRUS TYPE III (Saukett Stam) MONOVALENT, GEÏNACTIVEERD/TETANUSTOXOÏDE, GEADSORBEERD, GEINACTIVEERD -  - Poeder voor suspensie voor injectie;Uitsluitend recept
OCRELIZUMAB - 920 mg - Oplossing voor injectie;Uitsluitend recept
LUTETIUM (177LU) OXODOTREOTIDE - 370 MBq/ml - Oplossing voor infusie;Uitsluitend recept
TENECTEPLASE -  - Poeder voor oplossing voor injectie;Uitsluitend recept
DOPAMINE - 1,5 mg/ml - Oplossing voor infusie;Uitsluitend recept
CLADRIBINE - 2 mg/ml - Oplossing voor injectie;Uitsluitend recept
TRIËNTINETETRA - 150 mg - Tablet;Uitsluitend recept
LOMITAPIDE - 10 mg - Capsule;Uitsluitend recept
ROTIGOTINE - 8 mg - Pleister voor transdermaal gebruik;Uitsluitend recept
DORAVIRINE - 100 mg - Filmomhulde tablet;Uitsluitend recept
LASMIDITANHEMI - 100 mg - Filmomhulde tablet;Uitsluitend recept
MERCAPTAMINE - 75 mg - Capsule;Uitsluitend recept
BRIGATINIB - 180 mg - Filmomhulde tablet;Uitsluitend recept
TALAZOPARIBTOSILAAT - 0,25 mg - Capsule;Uitsluitend recept
GUANFACINE - 1 mg - Tablet met verlengde afgifte;Uitsluitend recept
LEVEND VERZWAKT NIET VERMENIGVULDIGEND ORTHOPOKKENVIRUS, Stam gemodificeerd Chorioallantois Vaccinia Ankara-Bavarian Nordic (MVA-BN) -  - Suspensie voor injectie;Uitsluitend recept
AZILSARTANMEDOXOMIL - 40 mg - Tablet;Uitsluitend recept
AZELASTINE/FLUTICASON - 137 microgram / 50 microgram - Neusspray;Uitsluitend recept
LONOCTOCOG ALFA - 250 IE - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
ADALIMUMAB - 40 mg/0,8 mL - Oplossing voor injectie;Uitsluitend recept
CILASTATINE/IMIPENEM/RELEBACTAM - 500 mg/500 mg/250 mg - Poeder voor oplossing voor infusie;Uitsluitend recept
EPTACOG ALFA (GEACTIVEERD) - 2 mg - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
RIVASTIGMINE - 3 mg - Orodispergeerbare tablet;Uitsluitend recept
ROTIGOTINE - 3 mg - Pleister voor transdermaal gebruik;Uitsluitend recept
ABIRATERON/NIRAPARIBTOSILAAT - 50 mg/500 mg - Filmomhulde tablet;Uitsluitend recept
MITOTAAN - 500 mg - Tablet;Uitsluitend recept
MEPOLIZUMAB - 100 mg - Oplossing voor injectie;Uitsluitend recept
PALOPEGTERIPARATIDE - 294 microgram/0,98 ml - Oplossing voor injectie;Uitsluitend recept
EPOËTINE ALFA - 8000 IE - Oplossing voor injectie;Uitsluitend recept
LEVEND VERZWAKT RECOMBINANT VESICULAIR STOMATITISVIRUS (rVSV, 11481 nt INDIANA STAM) BEVATTEND ZAIRE-EBOLA VIRUS (ZEBOV, KIKWIT 1995 STAM) ENVELOP GLYCOPROTEINE (GP), GEPRODUCEERD IN VERO CELLEN -  - Oplossing voor injectie;Uitsluitend recept
GALCANEZUMAB - 120 mg/ml - Oplossing voor injectie;Uitsluitend recept
AMLODIPINE/HYDROCHLOORTHIAZIDE/OLMESARTANMEDOXOMIL - 40/5/12,5 mg - Filmomhulde tablet;Uitsluitend recept
GEINACTIVEERD BUITENMEMBRAAN BLAASJES EN FRAGMENTEN (OMV) VAN N. MENINGITIDIS, SEROGROEP B, Stam NZ98-254 GEMETEN ALS PorA, Serogroep P1.4 PROTEÏNE/RECOMBINANT N. MENINGITIDIS, SEROGROEP B NHBA (Neisseria Heparin Binding Antigen) PROTEÏNE, Stam NZ98-254 GEFUSEERD MET ACCESSORY PROTEÏNE 953, Stam 2996/RECOMBINANT N. MENINGITIDIS, SEROGROEP B NadA (Neisseria adhesin A) PROTEÏNE, Stam 2996/RECOMBINANT N. MENINGITIDIS, SEROGROUP B fHBP (factor H Binding Protein) PROTEÏNE, Stam MC58 GEFUSEERD MET ACCESSORY PROTEÏNE 936, Stam 2996 -  - Suspensie voor injectie;Uitsluitend recept
LIPEGFILGRASTIM - 6 mg - Oplossing voor injectie;Uitsluitend recept
MELFALAN - 50 mg - Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
FOLLITROPINE ALFA/LUTROPINE ALFA , RECOMBINANT - 0,48 ml - Oplossing voor injectie;Uitsluitend recept
CALCITRIOL -  - Capsule;Uitsluitend recept
AMOXICILLINE/CLAVULANAAT - 100 mg/12,5 mg/ml - Poeder voor orale suspensie;Uitsluitend recept
CARBASALAAT - 100 mg - Poeder voor oraal gebruik;Uitsluitend recept
CEFOTAXIM - 1 g - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
DOXYCYCLINEHYCLAAT - 100 mg/5 ml - Oplossing voor injectie;Uitsluitend recept
ARGATROBAN - 100mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
BETAMETHASON - 0,05% - Crème;Uitsluitend recept
FLUTICASON/SALMETEROL - 25/50 microgram/dosis - Aërosol;Uitsluitend recept
WATERIG EXTRACT VAN EEN MENGSEL VAN BETULA VERRUCOSA POLLEN, ALNUS GLUTINOSA POLLEN, CORYLUS AVELLANA POLLEN - 100.000 SQ-E/ml - Suspensie voor injectie;Uitsluitend recept
KETOROLACTROMETAMOL - 0,5% - Oogdruppels;Uitsluitend recept
AMYLASE/LIPASE/PANCREATINE/PROTEASE - 60,12 mg - Maagsapresistent granulaat;Uitsluitend recept
CEFOTAXIM - 1000 mg - Poeder voor oplossing voor injectie;Uitsluitend recept
LYSINEACETYLSALICYLAAT - 500 mg/5ml - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
NADROPARINE - 19.000 IE/1 ml - Oplossing voor injectie;Uitsluitend recept
LABETALOL - 5 mg/ml - Concentraat voor oplossing voor injectie of infusie;Uitsluitend recept
INDAPAMIDE/PERINDOPRIL - 5 mg/1,25 mg - Filmomhulde tablet;Uitsluitend recept
ERYTROMYCINE - 10 mg/g - Oplossing voor cutaan gebruik;Uitsluitend recept
FENTICONAZOL - 20 mg/g - Crème voor vaginaal gebruik;Uitsluitend recept
(E 170)/CHOLECALCIFEROL/RISEDRONAAT/RISEDRONINEZUUR -  - Bruisgranulaat;Uitsluitend recept
AMOXICILLINE/CLAVULANAAT - 500 mg/ 50 mg - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
CLORAZEPAAT - 50 mg - Filmomhulde tablet;Uitsluitend recept
METHOTREXAAT - 100 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
CIPROFLOXACINE - 400 mg/200 ml - Oplossing voor infusie;Uitsluitend recept
TRANEXAMINEZUUR - 10 mg/ml - Oplossing voor infusie;Uitsluitend recept
(C2H3O2)-/ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/(E 509)/FENYLALANINE, (L-)/(3-)/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINEMONO  (L-)/ISOLEUCINE, (L-)/(K+)/(E 261)/LEUCINE, (L-) (E 641)/LYSINE, L-/(MG2+)//METHIONINE, (L-)/(NA+) /(E 262)/(E 339)/HYDROXIDE (E 524)/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/THREONINE, (L-)/TRIGLYCERIDEN MET OMEGA-3-VETZUREN/TRIGLYCERIDEN MIDDELLANGE KETEN/TRYPTOFAAN, (L-)/VALINE, (L-)/ZINK (Zn2+)/ZINK  (E 650) - 38 g/l - Emulsie voor infusie;Uitsluitend recept
AMOXICILLINE/CLAVULANAAT - 2000 mg/200mg - Poeder voor oplossing voor infusie;Uitsluitend recept
DESMOPRESSINE - 50 microgram - Lyofilisaat voor oraal gebruik;Uitsluitend recept
HISTAMINE -  - Oplossing voor huidpriktest;Uitsluitend recept
FLUDARABINE - 25 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
LEVOTHYROXINE - 137 microgram - Drank;Uitsluitend recept
DOXYLAMINE - 25 mg - Poeder voor oraal gebruik;Uitsluitend recept
AMOXICILLINE/CLAVULANAAT - 1000 mg/200mg - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
(E 170)/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM - 500 mg/440 IE - Kauwtablet;Uitsluitend recept
OXYCODON - 120 mg - Tablet met verlengde afgifte;Uitsluitend recept
FUROSEMIDE - 40mg/4ml - Oplossing voor injectie;Uitsluitend recept
MESALAZINE - 500 mg - Tablet met verlengde afgifte;Uitsluitend recept
LEVOMETHADON - 55 mg - Drank;Uitsluitend recept
FLUDARABINE - 25 mg/ml - Concentraat voor oplossing voor injectie of infusie;Uitsluitend recept
LEVOSIMENDAN - 2,5 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
CEFTRIAXON - 2 g - Poeder voor oplossing voor infusie;Uitsluitend recept
CLOMIPRAMINE - 10 mg - Omhulde tablet;Uitsluitend recept
ATROPINE - 0,2 mg/ ml - Oplossing voor injectie;Uitsluitend recept
TROPISETRON - 2 mg/2 ml - Oplossing voor injectie of infusie;Uitsluitend recept
AMLODIPINE/PERINDOPRIL - 8/10 mg - Tablet;Uitsluitend recept
ETHINYLESTRADIOL/GESTODEEN - 0,075/0,030 mg - Tablet;Uitsluitend recept
ATORVASTATINE - 5 mg - Kauwtablet;Uitsluitend recept
AMOXICILLINE - 1000 mg - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
HUMAAN, NORMAAL IMMUNOGLOBULINE - 50 mg/ml - Oplossing voor infusie;Uitsluitend recept
CARBOMEER 974P - 3mg/g - Ooggel;Uitsluitend recept
LEVOTHYROXINE - 0,150 mg - Tablet;Uitsluitend recept
ESMOLOL - 2500 mg - Poeder voor oplossing voor infusie;Uitsluitend recept
BETAMETHASON/CALCIPOTRIOL - 50 microgram/0,5 mg/g - Zalf;Uitsluitend recept
GEMCITABINE - 2000 mg - Oplossing voor infusie;Uitsluitend recept
CHOLECALCIFEROL/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM - 1000 IE - Filmomhulde tablet;Uitsluitend recept
CHOLECALCIFEROL/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM - 2.000 IE - Filmomhulde tablet;Uitsluitend recept
MORFINE - 10mg/ml - Oplossing voor injectie;Uitsluitend recept
CARBIDOPA/LEVODOPA - 200/50 mg - Tablet met verlengde afgifte;Uitsluitend recept
