PRESCRIBING_PRODUCT;PRODUCTNAAM;STERKTE;WERKZAMESTOFFEN_CLEAN;FARMACEUTISCHEVORM;AFLEVERSTATUS
ATENOLOL - 50 mg - Filmomhulde tablet;Atenolol Xiromed 50 mg filmomhulde tabletten;50 mg;ATENOLOL;Filmomhulde tablet;Uitsluitend recept
DORZOLAMIDE/TIMOLOL - 20 mg/ml - Oogdruppels;Dorzolamide + Timolol Stulln zonder conserveermiddel 20 mg/ml + 5 mg/ml oogdruppels, oplossing in verpakking voor éénmalig gebruik;20 mg/ml;DORZOLAMIDE/TIMOLOL;Oogdruppels, oplossing;Uitsluitend recept
LENALIDOMIDE - 25 mg - Capsule;Lenalidomide Fresenius Kabi 25 mg, harde capsules;25 mg;LENALIDOMIDE;Capsule, hard;Uitsluitend recept
AMLODIPINE/PERINDOPRIL - 8/10 mg - Tablet;Perindopril tert-butylamine/Amlodipine CF 8/10 mg, tabletten;8/10 mg;AMLODIPINE/PERINDOPRIL;Tablet;Uitsluitend recept
DARUNAVIR - 400 mg - Filmomhulde tablet;Darunavir Accord 400 mg, filmomhulde tabletten;400 mg;DARUNAVIR;Filmomhulde tablet;Uitsluitend recept
OMEPRAZOL - 10 mg - Maagsapresistente capsule;Omeprazol capsules 10 mg, maagsapresistente capsules;10 mg;OMEPRAZOL;Maagsapresistente capsule, hard;Uitsluitend recept
ETHINYLESTRADIOL/GESTODEEN - 0,075/0,030 mg - Tablet;Gestodeen/Ethinylestradiol Eugia 0,075/0,030 mg, tabletten;0,075/0,030 mg;ETHINYLESTRADIOL/GESTODEEN;Tablet;Uitsluitend recept
APREPITANT - 125 mg - Capsule;Aprepitant Xiromed 125 mg harde capsules;125 mg;APREPITANT;Capsule, hard;Uitsluitend recept
ERLOTINIB - 100 mg - Filmomhulde tablet;Erlotinib Amarox 100 mg filmomhulde tabletten;100 mg;ERLOTINIB;Filmomhulde tablet;Uitsluitend recept
CHOLECALCIFEROL/CHOLECALCIFEROL - 100.000 IE - Capsule;Colecalciferol Benferol 100.000 IE zachte capsules;100.000 IE;CHOLECALCIFEROL/CHOLECALCIFEROL;Capsule, zacht;Uitsluitend recept
ARIPIPRAZOL - 15 mg - Tablet;Aripiprazol Aurobindo 15 mg, tabletten;15 mg;ARIPIPRAZOL;Tablet;Uitsluitend recept
DOXYCYCLINE - 100 mg - Dispergeerbare tablet;Doxycycline dispers 100 mg RIA, dispergeerbare tabletten;100 mg;DOXYCYCLINE;Dispergeerbare tablet;Uitsluitend recept
CHLOORHEXIDINEDIGLUCONAAT/ETHANOL - 0,5% - Oplossing voor cutaan gebruik;Chloorhexidinedigluconaat 0,5% m/v in Alcohol 70% v/v Melita, oplossing voor cutaan gebruik;0,5%;CHLOORHEXIDINEDIGLUCONAAT/ETHANOL;Oplossing voor cutaan gebruik;Uitsluitend apotheek of drogist
ATORVASTATINE - 5 mg - Kauwtablet;Lipitor 5 mg, kauwtabletten;5 mg;ATORVASTATINE;Kauwtablet;Uitsluitend recept
GADOLINIUM (Gd 3+)/GADOTEERZUUR - 0,5 mmol/ml - Oplossing voor injectie;Gadoteerzuur Guerbet 0,5 mmol/ml, oplossing voor injectie in voorgevulde spuit;0,5 mmol/ml;GADOLINIUM (Gd 3+)/GADOTEERZUUR;Oplossing voor injectie;Uitsluitend recept
LEVOTHYROXINE - 88 microgram - Tablet;Euthyrox 88 microgram, tabletten;88 microgram;LEVOTHYROXINE;Tablet;Uitsluitend recept
CITALOPRAM - 30 mg - Filmomhulde tablet;Citalopram Sandoz 30 mg, filmomhulde tabletten 30 mg;30 mg;CITALOPRAM;Filmomhulde tablet;Uitsluitend recept
AMOXICILLINE - 1000 mg - Poeder voor oplossing voor injectie of infusie;Amoxicilline Eugia 1000 mg, poeder voor oplossing voor injectie of infusie;1000 mg;AMOXICILLINE;Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
HUMAAN, NORMAAL IMMUNOGLOBULINE - 50 mg/ml - Oplossing voor infusie;Octagam 50 mg/ml, oplossing voor infusie;50 mg/ml;HUMAAN, NORMAAL IMMUNOGLOBULINE;Oplossing voor infusie;Uitsluitend recept
CARBOMEER 974P - 3mg/g - Ooggel;THILO-TEARS 3mg/g ooggel;3mg/g;CARBOMEER 974P;Ooggel;Uitsluitend recept
QUETIAPINE - 300 mg - Filmomhulde tablet;Quetiapine Nevik 300 mg, filmomhulde tabletten;300 mg;QUETIAPINE;Filmomhulde tablet;Uitsluitend recept
LEVOTHYROXINE - 0,150 mg - Tablet;Thyrax Duotab 0,150 mg, tabletten;0,150 mg;LEVOTHYROXINE;Tablet;Uitsluitend recept
ESMOLOL - 2500 mg - Poeder voor oplossing voor infusie;Esmolol HCl LYO Orpha 2500 mg poeder voor concentraat voor oplossing voor infusie;2500 mg;ESMOLOL;Poeder voor oplossing voor infusie;Uitsluitend recept
BETAMETHASON/CALCIPOTRIOL - 50 microgram/0,5 mg/g - Zalf;Dovobet 50 microgram/0,5 mg/g zalf;50 microgram/0,5 mg/g;BETAMETHASON/CALCIPOTRIOL;Zalf;Uitsluitend recept
PARICALCITOL - 5 microgram/ml - Oplossing voor injectie;Paricalcitol Accord 5 microgram/ml oplossing voor injectie;5 microgram/ml;PARICALCITOL;Oplossing voor injectie;Uitsluitend recept
BACLOFEN - 10 mg - Tablet;Lioresal 10, tabletten 10 mg;10 mg;BACLOFEN;Tablet;Uitsluitend recept
BISOPROLOL - 10 mg - Tablet;Bisoprololfumaraat ratiopharm 10 mg, tabletten;10 mg;BISOPROLOL;Tablet;Uitsluitend recept
DESMOPRESSINE - 60 microgram - Tablet voor sublinguaal gebruik;Desmopressine Prolepha 60 microgram, tabletten voor sublinguaal gebruik;60 microgram;DESMOPRESSINE;Tablet voor sublinguaal gebruik;Uitsluitend recept
ITRACONAZOL - 100 mg - Capsule;Itraconazol CF 100 mg capsules, capsule hard;100 mg;ITRACONAZOL;Capsule, hard;Uitsluitend recept
MOXIFLOXACINE - 400 mg - Filmomhulde tablet;Moxifloxacine Sandoz 400 mg, filmomhulde tabletten;400 mg;MOXIFLOXACINE;Filmomhulde tablet;Uitsluitend recept
DARUNAVIR - 400 mg - Filmomhulde tablet;Darunavir Vocate 400 mg filmomhulde tabletten;400 mg;DARUNAVIR;Filmomhulde tablet;Uitsluitend recept
BECLOMETASON - 50 Au - Aërosol;Qvar Extrafijne Aërosol 50 Autohaler, 50 microgram/dosis, aërosol, oplossing;50 Au;BECLOMETASON;Aërosol, oplossing;Uitsluitend recept
VALSARTAN - 80 mg - Filmomhulde tablet;Valsartan Sandoz 80 mg, filmomhulde tabletten;80 mg;VALSARTAN;Filmomhulde tablet;Uitsluitend recept
OMEPRAZOL - 10 mg - Maagsapresistente capsule;Kruidvat maagzuurremmer Omeprazol 10 mg, maagsapresistente capsules, hard;10 mg;OMEPRAZOL;Maagsapresistente capsule, hard;Uitsluitend recept
NICOTINERESINAAT - 2 mg - Kauwgom;RXT nicotine kauwgom mint 2 mg suikervrij;2 mg;NICOTINERESINAAT;Kauwgom;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 22 oktober 2020]
OXCARBAZEPINE - 150 mg - Filmomhulde tablet;Oxcarbazepine Jubilant 150 mg, filmomhulde tabletten;150 mg;OXCARBAZEPINE;Filmomhulde tablet;Uitsluitend recept
GEMCITABINE - 2000 mg - Oplossing voor infusie;Gemcitabine SUN 2000 mg oplossing voor infusie;2000 mg;GEMCITABINE;Oplossing voor infusie;Uitsluitend recept
MELATONINE - 3 mg - Filmomhulde tablet;Melatonine Pharma Nord 3 mg filmomhulde tabletten;3 mg;MELATONINE;Filmomhulde tablet;Uitsluitend apotheek of drogist
TRIAMCINOLONACETONIDE - 40 mg/ml - Suspensie voor injectie;VISTREC 40 mg/ml suspensie voor injectie;40 mg/ml;TRIAMCINOLONACETONIDE;Suspensie voor injectie;Uitsluitend recept
BIMATOPROST/TIMOLOL - 0,3 mg/ml - Oogdruppels;Bimatoprost/Timolol Brown & Burk 0,3 mg/ml + 5 mg/ml oogdruppels, oplossing in verpakking voor eenmalig gebruik;0,3 mg/ml;BIMATOPROST/TIMOLOL;Oogdruppels, oplossing;Uitsluitend recept
CHOLECALCIFEROL/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM - 1000 IE - Filmomhulde tablet;Cholespark 1000 IE filmomhulde tabletten;1000 IE;CHOLECALCIFEROL/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM;Filmomhulde tablet;Uitsluitend recept
CHOLECALCIFEROL/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM - 2.000 IE - Filmomhulde tablet;Demivitos 2.000 IE filmomhulde tabletten;2.000 IE;CHOLECALCIFEROL/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM;Filmomhulde tablet;Uitsluitend recept
NICOTINERESINAAT - 2 mg - Kauwgom;Nicorette Suikervrij Menthol Mint 2 mg kauwgom;2 mg;NICOTINERESINAAT;Kauwgom;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 22 september 2016]
PASSIFLORAE INCARNATA HERBA DROOG ETHANOLISCH  (68 pCt.) EXTRACT (6-7 = 1) -  - Omhulde tablet;Pascoflair, omhulde tabletten;;PASSIFLORAE INCARNATA HERBA DROOG ETHANOLISCH  (68 pCt.) EXTRACT (6-7 = 1);Omhulde tablet;Uitsluitend apotheek of drogist
ALLOPURINOL - 300 mg - Tablet;Allopurinol Aurobindo 300 mg, tabletten;300 mg;ALLOPURINOL;Tablet;Uitsluitend recept
DIMETHYL - 120 mg - Maagsapresistente capsule;Dimethylfumaraat Pharmathen 120 mg harde maagsapresistente capsules;120 mg;DIMETHYL;Maagsapresistente capsule, hard;Uitsluitend recept
VALSARTAN - 160 mg - Filmomhulde tablet;Valsartan 160 mg tabletten PCH, filmomhulde tabletten;160 mg;VALSARTAN;Filmomhulde tablet;Uitsluitend recept
MORFINE - 10mg/ml - Oplossing voor injectie;Sendolor 10mg/ml, oplossing voor injectie;10mg/ml;MORFINE;Oplossing voor injectie;Uitsluitend recept
GABAPENTINE - 400 mg - Capsule;Gabapentine Teva 400 mg, harde capsules;400 mg;GABAPENTINE;Capsule, hard;Uitsluitend recept
CARBIDOPA /LEVODOPA - 200/50 mg - Tablet met verlengde afgifte;Levodopa/Carbidopa Sandoz retard 200/50 mg, tabletten met verlengde afgifte;200/50 mg;CARBIDOPA /LEVODOPA;Tablet met verlengde afgifte;Uitsluitend recept
TERBINAFINE - 10 mg/g - Crème;Terbinafine HCl SAM 10 mg/g Antischimmelcrème, crème;10 mg/g;TERBINAFINE;Crème;Uitsluitend apotheek of drogist
OLANZAPINE - 2,5 mg - Tablet;Olanzapine Aurobindo 2,5 mg tabletten;2,5 mg;OLANZAPINE;Tablet;Uitsluitend recept
IBUPROFEN - 100 mg - Kauwcapsule;Ibuprofen Banner 100 mg, zachte kauwcapsules;100 mg;IBUPROFEN;Kauwcapsule, zacht;Uitsluitend apotheek of drogist
HUMAAN, NORMAAL IMMUNOGLOBULINE VOOR INTRAVENEUS GEBRUIK - 10,0 g - Poeder en oplosmiddel voor oplossing voor infusie;GAMMAGARD S/D 10,0 g, poeder en oplosmiddel voor oplossing voor infusie;10,0 g;HUMAAN, NORMAAL IMMUNOGLOBULINE VOOR INTRAVENEUS GEBRUIK;Poeder en oplosmiddel voor oplossing voor infusie;Uitsluitend recept
ATENOLOL - 100 mg - Tablet;Atenolol Accord 100 mg tabletten;100 mg;ATENOLOL;Tablet;Uitsluitend recept
STIKSTOFOXIDE -  - Medicinaal gas;Neophyr 1000 ppm mol/mol medicinaal gas, samengeperst;;STIKSTOFOXIDE;Medicinaal gas, samengeperst;Uitsluitend recept
AMBRISENTAN - 5 mg - Filmomhulde tablet;Ambrisentan Sandoz 5 mg, filmomhulde tabletten;5 mg;AMBRISENTAN;Filmomhulde tablet;Uitsluitend recept
HYDROCHLOORTHIAZIDE/TELMISARTAN - 80 mg/12,5 mg - Tablet;Telmisartan/Hydrochloorthiazide Liconsa 80 mg/12,5 mg tabletten;80 mg/12,5 mg;HYDROCHLOORTHIAZIDE/TELMISARTAN;Tablet;Uitsluitend recept
METRONIDAZOL - 250 mg - Filmomhulde tablet;Metronidazol Aurobindo 250 mg, filmomhulde tabletten;250 mg;METRONIDAZOL;Filmomhulde tablet;Uitsluitend recept
RISPERIDON - 0,5 mg - Filmomhulde tablet;Risperidon Teva 0,5 mg, filmomhulde tabletten;0,5 mg;RISPERIDON;Filmomhulde tablet;Uitsluitend recept
ETORICOXIB - 60 mg - Filmomhulde tablet;Arcoxia 60 mg filmomhulde tabletten;60 mg;ETORICOXIB;Filmomhulde tablet;Uitsluitend recept
ELTROMBOPAGOLAMINE - 25 mg - Filmomhulde tablet;Eltrombopag Olainfarm 25 mg, filmomhulde tabletten;25 mg;ELTROMBOPAGOLAMINE;Filmomhulde tablet;Uitsluitend recept
AMLODIPINE/HYDROCHLOORTHIAZIDE/OLMESARTANMEDOXOMIL - 20 mg/5 mg/12,5 mg - Filmomhulde tablet;Sevikar HCT 20 mg/5 mg/12,5 mg filmomhulde tabletten;20 mg/5 mg/12,5 mg;AMLODIPINE/HYDROCHLOORTHIAZIDE/OLMESARTANMEDOXOMIL;Filmomhulde tablet;Uitsluitend recept
BROOMHEXINE - 8 mg - Tablet;JUMBO hoesttabletten broomhexine HCl 8 mg, tabletten;8 mg;BROOMHEXINE;Tablet;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 27 oktober 2011]
LISINOPRIL - 5 mg - Tablet;Lisinopril Sandoz 5 mg, tabletten;5 mg;LISINOPRIL;Tablet;Uitsluitend recept
EVEROLIMUS - 2,5 mg - Tablet;Everolimus Teva 2,5 mg, tabletten;2,5 mg;EVEROLIMUS;Tablet;Uitsluitend recept
ACONITUM NAPELLUS/ARNICA MONTANA/BELLADONNA/BELLIS PERENNIS/CALENDULA OFFICINALIS/ECHINACEA/ECHINACEA PURPUREA/HAMAMELIS VIRGINIANA/HEPAR SULPHUR/HYPERICUM PERFORATUM/MERCURIUS SOLUBILIS/SYMPHYTUM OFFICINALE -  - Gel;Traumeel S Spier- en gewrichtsgel;;ACONITUM NAPELLUS/ARNICA MONTANA/BELLADONNA/BELLIS PERENNIS/CALENDULA OFFICINALIS/ECHINACEA/ECHINACEA PURPUREA/HAMAMELIS VIRGINIANA/HEPAR SULPHUR/HYPERICUM PERFORATUM/MERCURIUS SOLUBILIS/SYMPHYTUM OFFICINALE;Gel;Uitsluitend apotheek of drogist
PRAVASTATINE - 40 mg - Tablet;Pravastatinenatrium 40 mg Pharmachemie, tabletten;40 mg;PRAVASTATINE;Tablet;Uitsluitend recept
MONTELUKAST - 10 mg - Filmomhulde tablet;Montelunio 10 mg filmomhulde tabletten;10 mg;MONTELUKAST;Filmomhulde tablet;Uitsluitend recept
CLARITROMYCINE - 250 mg - Filmomhulde tablet;Claritromycine Teva 250 mg, filmomhulde tabletten;250 mg;CLARITROMYCINE;Filmomhulde tablet;Uitsluitend recept
MORFINE - 100 mg/5 ml - Drank;Oramorph Unit Dose Vial 100 mg/5 ml, drank;100 mg/5 ml;MORFINE;Drank;Uitsluitend recept
GERMANIUM [68Ge]TETRA, GALLIUM [68Ga]TRI - 1,85 G - Radionuclide generator;GalliAd 0,74-1,85 GBq, radionuclidegenerator;1,85 G;GERMANIUM [68Ge]TETRA, GALLIUM [68Ga]TRI;Radionuclide generator;Uitsluitend recept
TRIAMCINOLONACETONIDE - 1 mg/g - Crème;Triamcinolonacetonide hydrofiele crème 1 mg/g;1 mg/g;TRIAMCINOLONACETONIDE;Crème;Uitsluitend recept
ACICLOVIR - 50 mg/g - Crème;Kruidvat Koortslipcrème Aciclovir 50 mg/g, crème;50 mg/g;ACICLOVIR;Crème;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 27 oktober 2011]
(E 170)/CHOLECALCIFEROL - 500 mg - Kauwtablet;Calcium/Vitamine D3 Teva 500 mg/440 I.E., kauwtabletten;500 mg;(E 170)/CHOLECALCIFEROL;Kauwtablet;Uitsluitend recept
SOMATROPINE (rDNA) - 5 mg/1,5 ml - Oplossing voor injectie;Norditropin FlexPro 5 mg/1,5 ml, oplossing voor injectie in een voorgevulde pen;5 mg/1,5 ml;SOMATROPINE (rDNA);Oplossing voor injectie;Uitsluitend recept
ESLICARBAZEPINE - 800 mg - Tablet;Eslicarbazepine Acetaat Aristo 800 mg tabletten;800 mg;ESLICARBAZEPINE;Tablet;Uitsluitend recept
METHOTREXAAT - 15 mg - Oplossing voor injectie;Methotrexaat Teva 15 mg, Oplossing voor injectie in een voorgevulde pen;15 mg;METHOTREXAAT;Oplossing voor injectie;Uitsluitend recept
URSODEOXYCHOLZUUR - 600 mg - Tablet;Ursochol 600, tabletten 600 mg;600 mg;URSODEOXYCHOLZUUR;Tablet;Uitsluitend recept
LERCANIDIPINE - 20 mg - Filmomhulde tablet;Lercanidipine Accord 20 mg filmomhulde tabletten;20 mg;LERCANIDIPINE;Filmomhulde tablet;Uitsluitend recept
FLECAÏNIDE - 150 mg - Capsule met verlengde afgifte;Tambocor CR 150, capsules met gereguleerde afgifte 150 mg;150 mg;FLECAÏNIDE;Capsule met verlengde afgifte, hard;Uitsluitend recept
ANACARDIUM ORIENTALE/HYDRASTIS CANADENSIS/IPECACUANHA/ BICHROMICUM/KREOSOTUM/NUX VOMICA/PHOSPHORUS/PULSATILLA PRATENSIS -  - Tablet;Mucosa comp. H;;ANACARDIUM ORIENTALE/HYDRASTIS CANADENSIS/IPECACUANHA/ BICHROMICUM/KREOSOTUM/NUX VOMICA/PHOSPHORUS/PULSATILLA PRATENSIS;Tablet;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 6 september 2007]
LOSARTAN - 25 mg - Filmomhulde tablet;Losartankalium 25 mg PCH, filmomhulde tabletten;25 mg;LOSARTAN;Filmomhulde tablet;Uitsluitend recept
CROMOGLICAAT - 20 mg/ml - Oogdruppels;Allerg-Abak 20 mg/ml, oogdruppels, oplossing;20 mg/ml;CROMOGLICAAT;Oogdruppels, oplossing;Uitsluitend apotheek of drogist
BISOPROLOL - 10 mg - Filmomhulde tablet;Bisoprololfumaraat 10 PCH, filmomhulde tabletten 10 mg;10 mg;BISOPROLOL;Filmomhulde tablet;Uitsluitend recept
CLOTRIMAZOL - 10 mg/g - Crème voor vaginaal gebruik;Trekpleister Clotrimazol 10 mg/g crème voor vaginaal gebruik;10 mg/g;CLOTRIMAZOL;Crème voor vaginaal gebruik;Uitsluitend apotheek of drogist
PARACETAMOL - 1000 mg - Tablet;Paracetamol Teva 1000 mg, tabletten;1000 mg;PARACETAMOL;Tablet;Uitsluitend apotheek
PREGABALINE - 50 mg - Capsule;Pregabaline Brillpharma 50 mg harde capsules;50 mg;PREGABALINE;Capsule, hard;Uitsluitend recept
DROSPIRENON/ETHINYLESTRADIOL BETA-CYCLODEXTRINECLATHRAAT - 0,02 mg/3 mg - Filmomhulde tablet;Ethinylestradiol/Drospirenon 24+4 0,02 mg/3 mg Berlipharm, filmomhulde tabletten;0,02 mg/3 mg;DROSPIRENON/ETHINYLESTRADIOL BETA-CYCLODEXTRINECLATHRAAT;Filmomhulde tablet;Uitsluitend recept
DIAZEPAM - 5 mg/2,5 ml - Oplossing voor rectaal gebruik;Stesolid 5 mg/2,5 ml rektiolen, oplossing voor rectaal gebruik;5 mg/2,5 ml;DIAZEPAM;Oplossing voor rectaal gebruik;Uitsluitend recept
CHLOORAMFENICOL - 1% - Oogzalf;Chlooramfenicol-POS 1%, oogzalf 10 mg/g;1%;CHLOORAMFENICOL;Oogzalf;Uitsluitend recept
BUPROPION - 150 mg - Tablet met gereguleerde afgifte;Bupropion HCL 150 mg Focus Care, tabletten met gereguleerde afgifte;150 mg;BUPROPION;Tablet met gereguleerde afgifte;Uitsluitend recept
HELIUM, MEDICINAAL/KOOLSTOFMONOXIDE - 0,28%/9,5% - Medicinaal gas;Apulco CoHe 0,28%/9,5%, medicinaal gas, samengeperst;0,28%/9,5%;HELIUM, MEDICINAAL/KOOLSTOFMONOXIDE;Medicinaal gas, samengeperst;Uitsluitend recept
ACETYLCYSTEÏNE - 600 mg - Tablet;Fluimucil 600 mg tabletten;600 mg;ACETYLCYSTEÏNE;Tablet;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 27 oktober 2011]
CLOZAPINE - 12,5 mg - Orodispergeerbare tablet;Zaponex 12,5 mg, orodispergeerbare tabletten;12,5 mg;CLOZAPINE;Orodispergeerbare tablet;Uitsluitend recept
ACETYLSALICYLZUUR - 80 mg - Dispergeerbare tablet;Acetylsalicylzuur Cardio Teva 80 mg, dispergeerbare tabletten;80 mg;ACETYLSALICYLZUUR;Dispergeerbare tablet;Uitsluitend recept
ESOMEPRAZOL - 40 mg - Maagsapresistente tablet;Esobax 40 mg, maagsapresistente tabletten;40 mg;ESOMEPRAZOL;Maagsapresistente tablet;Uitsluitend recept
MONTELUKAST - 5 mg - Kauwtablet;Montelukast Sandoz kauwtablet 5 mg, kauwtabletten;5 mg;MONTELUKAST;Kauwtablet;Uitsluitend recept
FOSINOPRIL - 20 mg - Tablet;Fosinoprilnatrium Aurobindo 20 mg, tabletten;20 mg;FOSINOPRIL;Tablet;Uitsluitend recept
BENZOYLPEROXIDE - 50 mg/ml - Gel;Benzac 50 mg/ml, gel;50 mg/ml;BENZOYLPEROXIDE;Gel;Uitsluitend apotheek of drogist
MEBENDAZOL - 100 mg - Tablet;Mebendazol Teva 100 mg, tabletten;100 mg;MEBENDAZOL;Tablet;Uitsluitend apotheek of drogist
BUMETANIDE - 2 mg - Tablet;Bumetanide Unichem 2 mg, tabletten;2 mg;BUMETANIDE;Tablet;Uitsluitend recept
CLINDAMYCINE - 150 mg - Capsule;Clindamycine Sandoz 150 mg, capsules;150 mg;CLINDAMYCINE;Capsule, hard;Uitsluitend recept
AMLODIPINE/INDAPAMIDE /PERINDOPRIL - 5 mg/1,25 mg/5 mg - Filmomhulde tablet;Arplexam 5 mg/1,25 mg/5 mg, filmomhulde tabletten;5 mg/1,25 mg/5 mg;AMLODIPINE/INDAPAMIDE /PERINDOPRIL;Filmomhulde tablet;Uitsluitend recept
LENALIDOMIDE - 20 mg - Capsule;Lenalidomide Amarox 20 mg harde capsules;20 mg;LENALIDOMIDE;Capsule, hard;Uitsluitend recept
CLADRIBINE - 1 mg/ml - Concentraat voor oplossing voor infusie;Leustatin, concentraat voor infusievloeistof  1 mg/ml;1 mg/ml;CLADRIBINE;Concentraat voor oplossing voor infusie;Uitsluitend recept
CELECOXIB - 200 mg - Capsule;Celecoxib Denk 200 mg, harde capsules;200 mg;CELECOXIB;Capsule, hard;Uitsluitend recept
HYDROCHLOORTHIAZIDE - 12,5 mg - Tablet;Hydrochloorthiazide Mylan 12,5 mg, tabletten;12,5 mg;HYDROCHLOORTHIAZIDE;Tablet;Uitsluitend recept
MODAFINIL - 100 mg - Tablet;Aspendos 100 mg, tabletten;100 mg;MODAFINIL;Tablet;Uitsluitend recept
LEVOCARNITINE - 100 mg/ml - Drank;Carnitene, 100 mg/ml drank;100 mg/ml;LEVOCARNITINE;Drank;Uitsluitend recept
FLUNITRAZEPAM - 1 mg - Tablet;Flunitrazepam 1 mg Teva, tabletten;1 mg;FLUNITRAZEPAM;Tablet;Uitsluitend recept
DARUNAVIR - 800 mg - Filmomhulde tablet;Darunavir Medicopharm 800 mg filmomhulde tabletten;800 mg;DARUNAVIR;Filmomhulde tablet;Uitsluitend recept
BETAMETHASON - 1 mg/g - Crème;Betamethason Teva 1 mg/g, crème;1 mg/g;BETAMETHASON;Crème;Uitsluitend recept
SOLIDAGO VIRGAUREA -  - Druppels voor oraal gebruik;VSM Solidago virgaurea ø druppels;;SOLIDAGO VIRGAUREA;Druppels voor oraal gebruik, oplossing;Uitsluitend apotheek of drogist
TEMOZOLOMIDE - 100 mg - Capsule;Temozolomide Glenmark 100 mg, harde capsules;100 mg;TEMOZOLOMIDE;Capsule, hard;Uitsluitend recept
DINOPROSTON - 0,5 mg/3 g - Gel voor endocervicaal gebruik;Prepidil 0,5 mg/3 g, gel voor endocervicaal gebruik;0,5 mg/3 g;DINOPROSTON;Gel voor endocervicaal gebruik;Uitsluitend recept
FENYLEFRINE - 25 mg/ml - Oogdruppels;Minims Fenylefrinehydrochloride 25 mg/ml, oogdruppels, oplossing;25 mg/ml;FENYLEFRINE;Oogdruppels, oplossing;Uitsluitend recept
CYTARABINE - 2000 mg/20 ml - Concentraat voor oplossing voor infusie;Cytarabine Hospira 2000 mg/20 ml Onco-Tain, concentraat voor oplossing voor infusie 100 mg/ml;2000 mg/20 ml;CYTARABINE;Concentraat voor oplossing voor infusie;Uitsluitend recept
ESKETAMINE - 5 mg/ml - Oplossing voor injectie;Ketanest-S 5 Multi-dose, oplossing voor injectie 5 mg/ml;5 mg/ml;ESKETAMINE;Oplossing voor injectie;Uitsluitend recept
ZOLEDRONINEZUUR - 5 mg - Oplossing voor infusie;Zoledroninezuur SUN 5 mg oplossing voor infusie;5 mg;ZOLEDRONINEZUUR;Oplossing voor infusie;Uitsluitend recept
IBUPROFEN - 200mg/5ml - Suspensie voor oraal gebruik;Nurofen voor Kinderen Aardbei suspensie, suspensie 200mg/5ml;200mg/5ml;IBUPROFEN;Suspensie voor oraal gebruik;Uitsluitend apotheek of drogist
GEÏNACTIVEERD RABIËSVIRUS, Stam WISTAR PM-W138 1503-3M -  - Poeder en oplosmiddel voor suspensie voor injectie;Verorab, poeder en oplosmiddel voor suspensie voor injectie;;GEÏNACTIVEERD RABIËSVIRUS, Stam WISTAR PM-W138 1503-3M;Poeder en oplosmiddel voor suspensie voor injectie;Uitsluitend recept
TRANEXAMINEZUUR - 500 mg - Filmomhulde tablet;Cyklokapron, filmomhulde tabletten 500 mg;500 mg;TRANEXAMINEZUUR;Filmomhulde tablet;Uitsluitend recept
LEVOCABASTINE - 0,5 mg/ml - Neusspray;Livocab 0,5 mg/ml neusspray, suspensie;0,5 mg/ml;LEVOCABASTINE;Neusspray, suspensie;Uitsluitend recept
KRYPTON KR 81M - 740 MBQ - Radionuclide generator;KryptoScan, radionuclide generator 75-740 MBQ/STUK;740 MBQ;KRYPTON KR 81M;Radionuclide generator;Uitsluitend recept
DEFERASIROX - 360 mg - Filmomhulde tablet;Deferasirox Xiromed 360 mg filmomhulde tabletten;360 mg;DEFERASIROX;Filmomhulde tablet;Uitsluitend recept
HYDROCHLOORTHIAZIDE/OLMESARTANMEDOXOMIL - 40 mg/25 mg - Filmomhulde tablet;Olmesartan medoxomil/HCT Teva 40 mg/25 mg, filmomhulde tabletten;40 mg/25 mg;HYDROCHLOORTHIAZIDE/OLMESARTANMEDOXOMIL;Filmomhulde tablet;Uitsluitend recept
AMITRIPTYLINE - 25 mg - Filmomhulde tablet;Amitriptyline HCl CF 25 mg, filmomhulde tabletten;25 mg;AMITRIPTYLINE;Filmomhulde tablet;Uitsluitend recept
HYDROCHLOORTHIAZIDE/TELMISARTAN - 80 mg/25 mg - Tablet;Zalmeber 80 mg/25 mg tabletten;80 mg/25 mg;HYDROCHLOORTHIAZIDE/TELMISARTAN;Tablet;Uitsluitend recept
ETHINYLESTRADIOL/NORGESTIMAAT - 0,25 mg/0,035 mg - Tablet;Norgestimaat/Ethinylestradiol Xiromed 0,25 mg/0,035 mg tabletten;0,25 mg/0,035 mg;ETHINYLESTRADIOL/NORGESTIMAAT;Tablet;Uitsluitend recept
OXYCODON - 10 mg - Orodispergeerbare tablet;OxyNorm Instant 10 mg, orodispergeerbare tabletten;10 mg;OXYCODON;Orodispergeerbare tablet;Uitsluitend recept
LORAZEPAM - 1 mg - Tablet;Lorazepam Aurobindo 1 mg, tabletten;1 mg;LORAZEPAM;Tablet;Uitsluitend recept
